Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	2	0	0	7.86813
7.1427e-05	2	0	0	5.82498
7.1427e-05	2	0	0	9.87337
7.1427e-05	2	0	0	1.1915
7.1427e-05	2	0	0	7.48061
7.1427e-05	4	0	0	-2.00442
7.1427e-05	4	0	0	-11.5316
7.1427e-05	4	0	0	-25.0805
7.1427e-05	4	0	0	-9.52303
7.1427e-05	4	0	0	24.1594
0.00507143	2	0	0	10.4815
0.00507143	2	0	0	8.73053
0.00507143	2	0	0	7.47008
0.00507143	2	0	0	11.0304
0.00507143	2	0	0	2.39167
0.00507143	4	0	0	6.67483
0.00507143	4	0	0	3.38684
0.00507143	4	0	0	-21.92
0.00507143	4	0	0	-1.07219
0.00507143	4	0	0	33.9663
0.0100714	2	0	0	10.3225
0.0100714	2	0	0	8.91023
0.0100714	2	0	0	7.9862
0.0100714	2	0	0	10.7033
0.0100714	2	0	0	2.40558
0.0100714	4	0	0	6.89358
0.0100714	4	0	0	2.51085
0.0100714	4	0	0	-21.6832
0.0100714	4	0	0	-1.17334
0.0100714	4	0	0	34.6791
0.0150714	2	0	0	10.679
0.0150714	2	0	0	8.93574
0.0150714	2	0	0	9.00493
0.0150714	2	0	0	10.0951
0.0150714	2	0	0	2.49402
0.0150714	4	0	0	6.63835
0.0150714	4	0	0	2.06866
0.0150714	4	0	0	-22.0454
0.0150714	4	0	0	-1.32852
0.0150714	4	0	0	34.8857
0.0200714	2	0	0	10.7868
0.0200714	2	0	0	8.80055
0.0200714	2	0	0	8.61627
0.0200714	2	0	0	9.78534
0.0200714	2	0	0	2.66901
0.0200714	4	0	0	6.6611
0.0200714	4	0	0	1.78924
0.0200714	4	0	0	-22.1279
0.0200714	4	0	0	-1.2975
0.0200714	4	0	0	34.1767
0.0250714	2	5	0	10.9706
0.0250714	2	4	0	8.67235
0.0250714	2	3	0	7.93739
0.0250714	2	2	0	10.2601
0.0250714	2	1	0	2.78531
0.0250714	4	5	0	6.60778
0.0250714	4	4	0	2.14965
0.0250714	4	3	0	-22.0564
0.0250714	4	2	0	-1.51198
0.0250714	4	1	0	33.2239
0.0300714	2	5	0	11.077
0.0300714	2	4	0	8.42696
0.0300714	2	3	0	7.5429
0.0300714	2	2	0	10.8433
0.0300714	2	1	0	2.55872
0.0300714	4	5	0	6.52278
0.0300714	4	4	0	2.75172
0.0300714	4	3	0	-22.2543
0.0300714	4	2	0	-1.5466
0.0300714	4	1	0	33.9162
0.0320714	2	5	0	46.0559
0.0320714	2	4	0	55.3876
0.0320714	2	3	0	44.3506
0.0320714	2	2	0	47.4828
0.0320714	2	1	0	55.995
0.0350714	2	5	0	10.79
0.0350714	2	4	0	8.76663
0.0350714	2	3	0	8.37057
0.0350714	2	2	0	11.2398
0.0350714	2	1	0	2.55018
0.0350714	4	5	0	6.63288
0.0350714	4	4	0	3.24842
0.0350714	4	3	0	-21.9326
0.0350714	4	2	0	-1.44097
0.0350714	4	1	0	34.864
0.0400714	2	5	0	11.0093
0.0400714	2	4	0	8.81107
0.0400714	2	3	0	8.52314
0.0400714	2	2	0	11.154
0.0400714	2	1	0	2.3346
0.0400714	4	5	0	6.41047
0.0400714	4	4	0	3.53654
0.0400714	4	3	0	-21.7125
0.0400714	4	2	0	-1.16251
0.0400714	4	1	0	34.0077
0.0450714	2	5	0	10.6561
0.0450714	2	4	0	8.69546
0.0450714	2	3	0	8.41938
0.0450714	2	2	0	10.4732
0.0450714	2	1	0	2.29146
0.0450714	4	5	0	6.80163
0.0450714	4	4	0	3.50527
0.0450714	4	3	0	-21.7447
0.0450714	4	2	0	-1.24441
0.0450714	4	1	0	34.326
0.0480714	4	5	0	44.3926
0.0480714	4	4	0	46.2812
0.0480714	4	3	0	31.4364
0.0480714	4	2	0	44.9892
0.0480714	4	1	0	53.695
0.0500714	2	5	0	10.4186
0.0500714	2	4	0	8.67704
0.0500714	2	3	0	7.84863
0.0500714	2	2	0	9.79859
0.0500714	2	1	0	2.57152
0.0500714	4	5	0	6.64255
0.0500714	4	4	0	3.19849
0.0500714	4	3	0	-21.8986
0.0500714	4	2	0	-1.6086
0.0500714	4	1	0	34.0937
0.0510714	2	5	0	10.3958
0.0510714	2	4	0	8.72957
0.0510714	2	3	0	8.64919
0.0510714	2	2	0	9.71158
0.0510714	2	1	0	2.59615
0.0510714	4	5	0	6.83393
0.0510714	4	4	0	3.03294
0.0510714	4	3	0	-21.9756
0.0510714	4	2	0	-1.59911
0.0510714	4	1	0	33.8737
0.0550714	2	5	0	10.1791
