Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	1	-89.6912
0	1	0	2	-87.2832
0	1	0	3	-90.063
0	1	0	4	-96.6562
0	1	0	5	-84.5814
0	3	0	6	-88.2612
0	3	0	7	-87.5955
0	3	0	8	-96.1448
0	3	0	9	-94.1288
0	3	0	10	-89.3791
0.005	1	0	1	-90.9195
0.005	1	0	2	-83.4756
0.005	1	0	3	-91.862
0.005	1	0	4	-89.6112
0.005	1	0	5	-81.1221
0.005	3	0	6	-89.9501
0.005	3	0	7	-84.3587
0.005	3	0	8	-99.2505
0.005	3	0	9	-89.4758
0.005	3	0	10	-83.2063
0.01	1	0	1	-91.0883
0.01	1	0	2	-83.3531
0.01	1	0	3	-91.9422
0.01	1	0	4	-89.4885
0.01	1	0	5	-81.1485
0.01	3	0	6	-89.9944
0.01	3	0	7	-84.3977
0.01	3	0	8	-99.0672
0.01	3	0	9	-89.7596
0.01	3	0	10	-83.3063
0.015	1	0	1	-90.9743
0.015	1	0	2	-83.4141
0.015	1	0	3	-91.967
0.015	1	0	4	-89.5036
0.015	1	0	5	-81.127
0.015	3	0	6	-90.2736
0.015	3	0	7	-84.2425
0.015	3	0	8	-99.1299
0.015	3	0	9	-89.9188
0.015	3	0	10	-83.3958
0.02	1	0	1	-90.8295
0.02	1	0	2	-83.417
0.02	1	0	3	-91.9263
0.02	1	0	4	-89.72
0.02	1	0	5	-81.0783
0.02	3	0	6	-90.2815
0.02	3	0	7	-84.145
0.02	3	0	8	-99.3516
0.02	3	0	9	-89.8944
0.02	3	0	10	-83.3152
0.025	1	0	1	-90.9157
0.025	1	0	2	-83.5223
0.025	1	0	3	-91.9232
0.025	1	0	4	-89.6428
0.025	1	0	5	-81.0773
0.025	3	0	6	-90.3072
0.025	3	0	7	-84.0867
0.025	3	0	8	-99.1477
0.025	3	0	9	-89.889
0.025	3	0	10	-83.3699
0.03	1	0	1	-90.9112
0.03	1	0	2	-83.6079
0.03	1	0	3	-91.6804
0.03	1	0	4	-89.6077
0.03	1	0	5	-81.2916
0.03	3	0	6	-90.4101
0.03	3	0	7	-84.1335
0.03	3	0	8	-99.0883
0.03	3	0	9	-89.8927
0.03	3	0	10	-83.3033
0.032	1	0	1	-91.0277
0.032	1	0	2	-83.6578
0.032	1	0	3	-91.821
0.032	1	0	4	-89.6095
0.032	1	0	5	-81.3391
0.035	1	0	1	-90.8683
0.035	1	0	2	-83.5014
0.035	1	0	3	-91.6105
0.035	1	0	4	-89.4918
0.035	1	0	5	-81.338
0.035	3	0	6	-90.4601
0.035	3	0	7	-84.2312
0.035	3	0	8	-98.9439
0.035	3	0	9	-89.9317
0.035	3	0	10	-83.3044
0.04	1	0	1	-90.7704
0.04	1	0	2	-83.5264
0.04	1	0	3	-91.7188
0.04	1	0	4	-89.3738
0.04	1	0	5	-81.4409
0.04	3	0	6	-90.447
0.04	3	0	7	-84.3624
0.04	3	0	8	-98.8278
0.04	3	0	9	-89.8774
0.04	3	0	10	-83.321
0.045	1	0	1	-90.9138
0.045	1	0	2	-83.5221
0.045	1	0	3	-91.7433
0.045	1	0	4	-89.551
0.045	1	0	5	-81.5699
0.045	3	0	6	-90.2229
0.045	3	0	7	-84.3903
0.045	3	0	8	-99.0138
0.045	3	0	9	-89.7884
0.045	3	0	10	-83.1994
0.048	3	0	6	-90.2704
0.048	3	0	7	-84.2968
0.048	3	0	8	-99.0411
0.048	3	0	9	-89.8485
0.048	3	0	10	-83.3948
0.05	1	0	1	-91.0303
0.05	1	0	2	-83.651
0.05	1	0	3	-91.7017
0.05	1	0	4	-89.5895
0.05	1	0	5	-81.4596
0.05	3	0	6	-90.2528
0.05	3	0	7	-84.2576
0.05	3	0	8	-99.0333
0.05	3	0	9	-89.8234
0.05	3	0	10	-83.5096
0.051	1	0	1	-91.0376
0.051	1	0	2	-83.6333
0.051	1	0	3	-91.7405
0.051	1	0	4	-89.6488
0.051	1	0	5	-81.4282
0.051	3	0	6	-90.1486
0.051	3	0	7	-84.2993
0.051	3	0	8	-98.992
0.051	3	0	9	-89.789
0.051	3	0	10	-83.5056
0.055	1	0	1	-91.0157
0.055	1	0	2	-83.7604
0.055	1	0	3	-91.5349
0.055	1	0	4	-89.6564
0.055	1	0	5	-81.513
0.055	3	0	6	-90.2192
0.055	3	0	7	-84.2469
0.055	3	0	8	-99.0572
0.055	3	0	9	-89.7733
0.055	3	0	10	-83.5796
0.059	1	0	1	-91.0897
0.059	1	0	2	-83.7973
0.059	1	0	3	-91.4415
0.059	1	0	4	-89.5913
0.059	1	0	5	-81.6242
0.06	1	0	1	-91.0705
0.06	1	0	2	-83.7901
0.06	1	0	3	-91.4464
0.06	1	0	4	-89.5039
0.06	1	0	5	-81.6798
0.06	3	0	6	-90.2139
0.06	3	0	7	-84.2379
0.06	3	0	8	-98.9306
0.06	3	0	9	-89.7708
0.06	3	0	10	-83.4939
0.061	3	0	6	-90.2381
0.061	3	0	7	-84.181
0.061	3	0	8	-98.8583
0.061	3	0	9	-89.7888
0.061	3	0	10	-83.5653
0.065	1	0	1	-90.9895
0.065	1	0	2	-83.9246
0.065	1	0	3	-91.4601
0.065	1	0	4	-89.4733
0.065	1	0	5	-81.5426
0.065	3	0	6	-90.3298
0.065	3	0	7	-84.0897
0.065	3	0	8	-98.7556
0.065	3	0	9	-89.7343
0.065	3	0	10	-83.5832
0.068	3	0	6	-90.2239
0.068	3	0	7	-83.8857
0.068	3	0	8	-98.6343
0.068	3	0	9	-89.6632
0.068	3	0	10	-83.6633
0.07	1	0	1	-91.0076
0.07	1	0	2	-83.9294
0.07	1	0	3	-91.6406
0.07	1	0	4	-89.5501
0.07	1	0	5	-81.6119
0.07	3	0	6	-90.2212
0.07	3	0	7	-83.8916
0.07	3	0	8	-98.5362
0.07	3	0	9	-89.7274
0.07	3	0	10	-83.6784
0.075	1	0	1	-90.8507
0.075	1	0	2	-83.9758
0.075	1	0	3	-91.7231
0.075	1	0	4	-89.6083
0.075	1	0	5	-81.654
0.075	3	0	6	-90.1587
0.075	3	0	7	-83.8562
0.075	3	0	8	-98.5145
0.075	3	0	9	-89.521
0.075	3	0	10	-83.7412
0.079	3	0	6	-90.1392
0.079	3	0	7	-83.714
0.079	3	0	8	-98.3944
0.079	3	0	9	-89.554
0.079	3	0	10	-83.8192
0.08	1	0	1	-90.8963
0.08	1	0	2	-84.0093
0.08	1	0	3	-91.6957
0.08	1	0	4	-89.7575
0.08	1	0	5	-81.6065
0.08	3	0	6	-90.1349
0.08	3	0	7	-83.6834
0.08	3	0	8	-98.4309
0.08	3	0	9	-89.6466
0.08	3	0	10	-83.8405
0.085	1	0	1	-91.0401
0.085	1	0	2	-83.9098
0.085	1	0	3	-91.5581
0.085	1	0	4	-89.8197
0.085	1	0	5	-81.6091
0.085	3	0	6	-90.1378
0.085	3	0	7	-83.8286
0.085	3	0	8	-98.5178
0.085	3	0	9	-89.732
0.085	3	0	10	-84.1225
0.09	1	0	1	-91.2583
0.09	1	0	2	-83.9415
0.09	1	0	3	-91.6447
0.09	1	0	4	-89.7876
0.09	1	0	5	-81.9448
0.09	3	0	6	-89.9875
0.09	3	0	7	-83.959
0.09	3	0	8	-98.7301
0.09	3	0	9	-89.6331
0.09	3	0	10	-84.0167
0.095	1	0	1	-91.1316
0.095	1	0	2	-83.9914
0.095	1	0	3	-91.9698
0.095	1	0	4	-89.7433
0.095	1	0	5	-81.9608
0.095	3	0	6	-90.1701
0.095	3	0	7	-83.8112
0.095	3	0	8	-98.561
0.095	3	0	9	-89.7861
0.095	3	0	10	-83.8673
0.097	1	0	1	-91.064
0.097	1	0	2	-83.9129
0.097	1	0	3	-91.7956
0.097	1	0	4	-89.7448
0.097	1	0	5	-82.0398
0.1	1	0	1	-91.0065
0.1	1	0	2	-83.8863
0.1	1	0	3	-91.7171
0.1	1	0	4	-89.7133
0.1	1	0	5	-82.0153
0.1	3	0	6	-90.1778
0.1	3	0	7	-83.7442
0.1	3	0	8	-98.7266
0.1	3	0	9	-90.071
0.1	3	0	10	-83.6645
0.105	1	0	1	-90.9698
0.105	1	0	2	-83.7913
0.105	1	0	3	-91.6896
0.105	1	0	4	-89.8233
0.105	1	0	5	-81.9687
0.105	3	0	6	-90.2491
0.105	3	0	7	-83.6744
0.105	3	0	8	-98.4939
0.105	3	0	9	-89.9703
0.105	3	0	10	-83.7744
0.11	1	0	1	-90.7013
0.11	1	0	2	-83.7029
0.11	1	0	3	-91.7454
0.11	1	0	4	-89.8694
0.11	1	0	5	-82.031
0.11	3	0	6	-90.2413
0.11	3	0	7	-83.8939
0.11	3	0	8	-98.2765
0.11	3	0	9	-90.072
0.11	3	0	10	-83.8369
0.112	1	0	1	-90.6808
0.112	1	0	2	-83.7199
0.112	1	0	3	-91.7334
0.112	1	0	4	-89.9026
0.112	1	0	5	-82.1545
0.115	1	0	1	-90.5942
0.115	1	0	2	-83.7671
0.115	1	0	3	-91.7606
0.115	1	0	4	-89.8501
0.115	1	0	5	-81.9701
0.115	3	0	6	-90.3474
0.115	3	0	7	-83.7366
0.115	3	0	8	-98.1599
0.115	3	0	9	-90.0765
0.115	3	0	10	-83.7
