% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
1.011	1	0	1	5	101	3	0	1	3	15	1	0	0	700
1.011	1	0	2	4	101	3	0	4	2	15	1	0	0	466
1.011	1	0	3	3	101	3	0	6	2	15	1	0	0	466
1.011	1	0	4	2	101	3	0	8	2	15	1	0	0	466
1.011	1	0	5	1	101	3	0	10	2	15	1	0	0	466
1.011	3	0	6	5	101	3	0	1	3	15	1	0	0	700
1.011	3	0	7	4	101	3	0	4	2	15	1	0	0	466
1.011	3	0	8	3	101	3	0	6	2	15	1	0	0	466
1.011	3	0	9	2	101	3	0	8	2	15	1	0	0	466
1.011	3	0	10	1	101	3	0	10	2	15	1	0	0	466
1.012	1	0	1	5	101	4	0	1	3	14	1	0	0	700
1.012	1	0	2	4	101	4	0	4	3	14	1	0	0	700
1.012	1	0	3	3	101	4	0	7	2	14	1	0	0	466
1.012	1	0	4	2	101	4	0	9	2	14	1	0	0	466
1.012	1	0	5	1	101	4	0	11	2	14	1	0	0	466
1.012	3	0	6	5	101	4	0	1	3	14	1	0	0	700
1.012	3	0	7	4	101	4	0	4	3	14	1	0	0	700
1.012	3	0	8	3	101	4	0	7	2	14	1	0	0	466
1.012	3	0	9	2	101	4	0	9	2	14	1	0	0	466
1.012	3	0	10	1	101	4	0	11	2	14	1	0	0	466
1.013	1	0	1	5	101	5	0	1	3	13	1	0	0	700
1.013	1	0	2	4	101	5	0	4	3	13	1	0	0	700
1.013	1	0	3	3	101	5	0	7	2	13	1	0	0	466
1.013	1	0	4	2	101	5	0	9	2	13	1	0	0	466
1.013	1	0	5	1	101	5	0	11	2	13	1	0	0	466
1.013	3	0	6	5	101	5	0	1	3	13	1	0	0	700
1.013	3	0	7	4	101	5	0	4	3	13	1	0	0	700
1.013	3	0	8	3	101	5	0	7	2	13	1	0	0	466
1.013	3	0	9	2	101	5	0	9	2	13	1	0	0	466
1.013	3	0	10	1	101	5	0	11	2	13	1	0	0	466
1.014	1	0	1	5	101	6	0	1	3	12	1	0	0	700
1.014	1	0	2	4	101	6	0	4	3	12	1	0	0	700
1.014	1	0	3	3	101	6	0	7	2	12	1	0	0	466
1.014	1	0	4	2	101	6	0	9	2	12	1	0	0	466
1.014	1	0	5	1	101	6	0	11	2	12	1	0	0	466
1.014	3	0	6	5	101	6	0	1	3	12	1	0	0	700
1.014	3	0	7	4	101	6	0	4	3	12	1	0	0	700
1.014	3	0	8	3	101	6	0	7	2	12	1	0	0	466
1.014	3	0	9	2	101	6	0	9	2	12	1	0	0	466
1.014	3	0	10	1	101	6	0	11	2	12	1	0	0	466
1.015	1	0	1	5	101	7	0	1	3	11	1	0	0	700
1.015	1	0	2	4	101	7	0	4	3	11	1	0	0	700
1.015	1	0	3	3	101	7	0	7	2	11	1	0	0	466
1.015	1	0	4	2	101	7	0	9	2	11	1	0	0	466
1.015	1	0	5	1	101	7	0	11	2	11	1	0	0	466
1.015	3	0	6	5	101	7	0	1	3	11	1	0	0	700
1.015	3	0	7	4	101	7	0	4	3	11	1	0	0	700
1.015	3	0	8	3	101	7	0	7	2	11	1	0	0	466
1.015	3	0	9	2	101	7	0	9	2	11	1	0	0	466
1.015	3	0	10	1	101	7	0	11	2	11	1	0	0	466
1.016	1	0	1	5	101	8	0	1	3	15	1	0	0	700
1.016	1	0	2	4	101	8	0	4	3	15	1	0	0	700
1.016	1	0	3	3	101	8	0	7	2	15	1	0	0	466
1.016	1	0	4	2	101	8	0	9	2	15	1	0	0	466
1.016	1	0	5	1	101	8	0	11	2	15	1	0	0	466
1.017	1	0	1	5	101	9	0	1	3	14	1	0	14	8412
1.017	1	0	2	4	101	9	0	4	3	14	1	0	14	8412
1.017	1	0	3	3	101	9	0	7	2	14	1	0	2	641
1.017	1	0	4	2	101	9	0	9	2	14	1	0	2	641
1.017	1	0	5	1	101	9	0	11	2	14	1	0	4	1110
1.018	1	0	1	5	102	0	0	1	3	13	1	0	14	8412
1.018	1	0	2	4	102	0	0	4	3	13	1	0	14	8412
1.018	1	0	3	3	102	0	0	7	2	13	1	0	2	641
1.018	1	0	4	2	102	0	0	9	2	13	1	0	2	641
1.018	1	0	5	1	102	0	0	11	2	13	1	0	4	1110
1.019	1	0	1	5	102	1	0	1	3	12	1	0	14	8412
1.019	1	0	2	4	102	1	0	4	2	12	1	0	14	5607
1.019	1	0	3	3	102	1	0	6	2	12	1	0	2	641
1.019	1	0	4	2	102	1	0	8	2	12	1	0	2	641
1.019	1	0	5	1	102	1	0	10	2	12	1	0	4	1110
1.02	1	0	1	5	102	2	0	1	3	11	1	0	14	8412
1.02	1	0	2	4	102	2	0	4	3	11	1	0	14	8412
1.02	1	0	3	3	102	2	0	7	2	11	1	0	2	641
1.02	1	0	4	2	102	2	0	9	2	11	1	0	2	641
1.02	1	0	5	1	102	2	0	11	2	11	1	0	4	1110
1.021	1	0	1	5	102	3	0	1	3	15	1	0	14	8412
1.021	1	0	2	4	102	3	0	4	3	15	1	0	14	8412
1.021	1	0	3	3	102	3	0	7	2	15	1	0	2	641
1.021	1	0	4	2	102	3	0	9	2	15	1	0	2	641
1.021	1	0	5	1	102	3	0	11	2	15	1	0	4	1110
1.021	3	0	6	5	102	3	0	1	3	15	1	0	16	10514
1.021	3	0	7	4	102	3	0	4	2	15	1	0	12	4323
1.021	3	0	8	3	102	3	0	6	2	15	1	0	0	466
1.021	3	0	9	2	102	3	0	8	2	15	1	0	4	1110
1.021	3	0	10	1	102	3	0	10	2	15	1	0	28	16118
1.022	1	0	1	5	102	4	0	1	3	14	1	0	24	19712
1.022	1	0	2	4	102	4	0	4	3	14	1	0	24	19712
1.022	1	0	3	3	102	4	0	7	2	14	1	0	24	13140
1.022	1	0	4	2	102	4	0	9	2	14	1	0	24	13140
1.022	1	0	5	1	102	4	0	11	2	14	1	0	24	13140
1.022	3	0	6	5	102	4	0	1	3	14	1	0	16	10514
1.022	3	0	7	4	102	4	0	4	3	14	1	0	12	6483
1.022	3	0	8	3	102	4	0	7	2	14	1	0	24	13140
1.022	3	0	9	2	102	4	0	9	2	14	1	0	4	1110
1.022	3	0	10	1	102	4	0	11	2	14	1	0	28	16118
1.023	1	0	1	5	102	5	0	1	3	13	1	0	24	19712
1.023	1	0	2	4	102	5	0	4	3	13	1	0	24	19712
1.023	1	0	3	3	102	5	0	7	2	13	1	0	24	13140
1.023	1	0	4	2	102	5	0	9	2	13	1	0	24	13140
1.023	1	0	5	1	102	5	0	11	2	13	1	0	24	13140
1.023	3	0	6	5	102	5	0	1	3	13	1	0	16	10514
1.023	3	0	7	4	102	5	0	4	3	13	1	0	12	6483
1.023	3	0	8	3	102	5	0	7	2	13	1	0	24	13140
1.023	3	0	9	2	102	5	0	9	2	13	1	0	4	1110
1.023	3	0	10	1	102	5	0	11	2	13	1	0	28	16118
1.024	1	0	1	5	102	6	0	1	3	12	1	0	24	19712
1.024	1	0	2	4	102	6	0	4	3	12	1	0	24	19712
1.024	1	0	3	3	102	6	0	7	2	12	1	0	24	13140
1.024	1	0	4	2	102	6	0	9	2	12	1	0	24	13140
1.024	1	0	5	1	102	6	0	11	2	12	1	0	24	13140
1.024	3	0	6	5	102	6	0	1	3	12	1	0	16	10514
1.024	3	0	7	4	102	6	0	4	3	12	1	0	12	6483
1.024	3	0	8	3	102	6	0	7	2	12	1	0	24	13140
1.024	3	0	9	2	102	6	0	9	2	12	1	0	4	1110
1.024	3	0	10	1	102	6	0	11	2	12	1	0	28	16118
1.025	1	0	1	5	102	7	0	1	3	11	1	0	24	19712
1.025	1	0	2	4	102	7	0	4	3	11	1	0	24	19712
1.025	1	0	3	3	102	7	0	7	2	11	1	0	24	13140
1.025	1	0	4	2	102	7	0	9	2	11	1	0	24	13140
1.025	1	0	5	1	102	7	0	11	2	11	1	0	24	13140
1.025	3	0	6	5	102	7	0	1	3	11	1	0	16	10514
1.025	3	0	7	4	102	7	0	4	3	11	1	0	12	6483
1.025	3	0	8	3	102	7	0	7	2	11	1	0	28	16118
1.025	3	0	9	2	102	7	0	9	2	11	1	0	4	1110
1.025	3	0	10	1	102	7	0	11	2	11	1	0	28	16118
1.026	1	0	1	5	102	8	0	1	3	15	1	0	24	19712
1.026	1	0	2	4	102	8	0	4	3	15	1	0	24	19712
1.026	1	0	3	3	102	8	0	7	2	15	1	0	24	13140
1.026	1	0	4	2	102	8	0	9	2	15	1	0	24	13140
1.026	1	0	5	1	102	8	0	11	2	15	1	0	24	13140
1.026	3	0	6	5	102	8	0	1	3	15	1	0	16	10514
1.026	3	0	7	4	102	8	0	4	3	15	1	0	12	6483
1.026	3	0	8	3	102	8	0	7	2	15	1	0	24	13140
1.026	3	0	9	2	102	8	0	9	2	15	1	0	4	1110
1.026	3	0	10	1	102	8	0	11	2	15	1	0	28	16118
1.034	1	0	1	5	103	6	0	1	3	14	1	0	28	24179
1.034	1	0	2	4	103	6	0	4	3	14	1	0	28	24179
1.034	1	0	3	3	103	6	0	7	2	14	1	0	28	16118
1.034	1	0	4	2	103	6	0	9	2	14	1	0	22	11390
1.034	1	0	5	1	103	6	0	11	2	14	1	0	28	16118
1.035	1	0	1	5	103	7	0	1	3	13	1	0	24	19712
1.035	1	0	2	4	103	7	0	4	3	13	1	0	24	19712
1.035	1	0	3	3	103	7	0	7	2	13	1	0	28	16118
1.035	1	0	4	2	103	7	0	9	2	13	1	0	22	11390
1.035	1	0	5	1	103	7	0	11	2	13	1	0	22	11390
1.036	1	0	1	5	103	8	0	1	3	15	1	0	24	19712
1.036	1	0	2	4	103	8	0	4	3	15	1	0	24	19712
1.036	1	0	3	3	103	8	0	7	2	12	1	0	22	11390
1.036	1	0	4	2	103	8	0	9	2	12	1	0	22	11390
1.036	1	0	5	1	103	8	0	11	2	12	1	0	22	11390
1.039	3	0	6	5	104	1	0	1	3	15	1	0	16	10514
1.039	3	0	7	4	104	1	0	4	2	15	1	0	12	4323
1.039	3	0	8	3	104	1	0	6	2	12	1	0	0	466
1.039	3	0	9	2	104	1	0	8	2	15	1	0	4	1110
1.039	3	0	10	1	104	1	0	10	2	15	1	0	28	16118
1.04	3	0	6	5	104	2	0	1	3	14	1	0	16	10514
