time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.01539	2	5	3	1530	0.00538308
1.01539	4	5	3	1530	0.0053768
1.0156	2	4	3	1530	0.00559611
1.0156	4	4	3	1530	0.00558983
1.01674	2	3	3	1530	0.00673771
1.01689	2	2	3	1530	0.00687931
1.01689	4	2	3	1530	0.00687303
1.01703	2	1	3	1530	0.00702091
1.01703	4	1	3	1530	0.00701463
1.01739	2	5	3	1530	0.00737052
1.01739	4	5	3	1530	0.00736424
1.0176	2	4	3	1530	0.00758355
1.0176	4	4	3	1530	0.00757727
1.01939	2	5	3	1530	0.00935796
1.01939	2	5	3	1530	0.0093454
1.01939	2	5	3	1530	0.00933284
1.01939	2	5	3	1530	0.00932028
1.01939	2	5	3	1530	0.00930772
1.01939	2	5	3	1530	0.00929516
1.0196	2	4	3	1530	0.00957099
1.0196	2	4	3	1530	0.00955843
1.0196	2	4	3	1530	0.00954587
1.0196	2	4	3	1530	0.00953331
1.0196	2	4	3	1530	0.00952075
1.0196	2	4	3	1530	0.00950819
1.01974	2	3	3	1530	0.00972515
1.01989	2	2	3	1530	0.00986675
1.02003	2	1	3	1530	0.0100083
1.02039	2	5	3	1530	0.0102826
1.02039	2	5	3	1530	0.01027
1.02039	2	5	3	1530	0.0102575
1.02039	2	5	3	1530	0.0102449
1.02039	2	5	3	1530	0.0102324
1.0206	2	4	3	1530	0.0104956
1.0206	2	4	3	1530	0.0104831
1.0206	2	4	3	1530	0.0104705
1.0206	2	4	3	1530	0.0104579
1.0206	2	4	3	1530	0.0104454
1.02103	2	1	3	1530	0.0109958
1.02139	2	5	3	1530	0.0112198
1.02139	2	5	3	1530	0.0112072
1.02139	2	5	3	1530	0.0111947
1.02139	2	5	3	1530	0.0111821
1.02139	2	5	3	1530	0.0111696
1.02139	2	5	3	1530	0.011157
1.02153	2	4	3	1530	0.0113614
1.02153	2	4	3	1530	0.0113488
1.02153	2	4	3	1530	0.0113363
1.02153	2	4	3	1530	0.0113237
1.02167	2	3	3	1530	0.0116412
1.02181	2	2	3	1530	0.0117828
1.02203	4	3	3	1530	0.0120171
1.02239	2	5	3	1530	0.0121444
1.02239	2	5	3	1530	0.0121319
1.02239	2	5	3	1530	0.0121193
1.02239	2	5	3	1530	0.0121068
1.02239	2	5	3	1530	0.0120942
