time(s)	cellId	rnti	lcid	packetSize
1.01	2	5	3	1530
1.01	2	4	3	1530
1.01001	2	3	3	1530
1.01001	2	2	3	1530
1.01001	2	1	3	1530
1.01001	4	5	3	1530
1.01001	4	4	3	1530
1.01001	4	3	3	1530
1.01001	4	2	3	1530
1.01001	4	1	3	1530
1.01002	2	5	3	1530
1.01002	2	4	3	1530
1.01002	2	3	3	1530
1.01002	2	2	3	1530
1.01002	2	1	3	1530
1.01002	4	5	3	1530
1.01002	4	4	3	1530
1.01002	4	3	3	1530
1.01003	4	2	3	1530
1.01003	4	1	3	1530
1.01003	2	5	3	1530
1.01003	2	4	3	1530
1.01003	2	3	3	1530
1.01003	2	2	3	1530
1.01003	2	1	3	1530
1.01003	4	5	3	1530
1.01004	4	4	3	1530
1.01004	4	3	3	1530
1.01004	4	2	3	1530
1.01004	4	1	3	1530
1.01004	2	5	3	1530
1.01004	2	4	3	1530
1.01004	2	3	3	1530
1.01004	2	2	3	1530
1.01005	2	1	3	1530
1.01005	4	5	3	1530
1.01005	4	4	3	1530
1.01005	4	3	3	1530
1.01005	4	2	3	1530
1.01005	4	1	3	1530
1.01005	2	5	3	1530
1.01005	2	4	3	1530
1.01006	2	3	3	1530
1.01006	2	2	3	1530
1.01006	2	1	3	1530
1.01006	4	5	3	1530
1.01006	4	4	3	1530
1.01006	4	3	3	1530
1.01006	4	2	3	1530
1.01006	4	1	3	1530
1.01007	2	5	3	1530
1.01007	2	4	3	1530
1.01007	2	3	3	1530
1.01007	2	2	3	1530
1.01007	2	1	3	1530
1.01007	4	5	3	1530
1.01007	4	4	3	1530
1.01007	4	3	3	1530
1.01008	4	2	3	1530
1.01008	4	1	3	1530
1.01008	2	5	3	1530
1.01008	2	4	3	1530
1.01008	2	3	3	1530
1.01008	2	2	3	1530
1.01008	2	1	3	1530
1.01008	4	5	3	1530
1.01009	4	4	3	1530
1.01009	4	3	3	1530
1.01009	4	2	3	1530
1.01009	4	1	3	1530
1.01009	2	5	3	1530
1.01009	2	4	3	1530
1.01009	2	3	3	1530
1.01009	2	2	3	1530
1.0101	2	1	3	1530
1.0101	4	5	3	1530
1.0101	4	4	3	1530
1.0101	4	3	3	1530
1.0101	4	2	3	1530
1.0101	4	1	3	1530
1.0101	2	5	3	1530
1.0101	2	4	3	1530
1.01011	2	3	3	1530
1.01011	2	2	3	1530
1.01011	2	1	3	1530
1.01011	4	5	3	1530
1.01011	4	4	3	1530
1.01011	4	3	3	1530
1.01011	4	2	3	1530
1.01011	4	1	3	1530
1.01012	2	5	3	1530
1.01012	2	4	3	1530
1.01012	2	3	3	1530
1.01012	2	2	3	1530
1.01012	2	1	3	1530
1.01012	4	5	3	1530
1.01012	4	4	3	1530
1.01012	4	3	3	1530
1.01013	4	2	3	1530
1.01013	4	1	3	1530
1.01013	2	5	3	1530
1.01013	2	4	3	1530
1.01013	2	3	3	1530
1.01013	2	2	3	1530
1.01013	2	1	3	1530
1.01013	4	5	3	1530
1.01014	4	4	3	1530
1.01014	4	3	3	1530
1.01014	4	2	3	1530
1.01014	4	1	3	1530
1.01014	2	5	3	1530
1.01014	2	4	3	1530
1.01014	2	3	3	1530
1.01014	2	2	3	1530
1.01015	2	1	3	1530
1.01015	4	5	3	1530
1.01015	4	4	3	1530
1.01015	4	3	3	1530
1.01015	4	2	3	1530
1.01015	4	1	3	1530
1.01015	2	5	3	1530
1.01015	2	4	3	1530
1.01016	2	3	3	1530
1.01016	2	2	3	1530
1.01016	2	1	3	1530
1.01016	4	5	3	1530
1.01016	4	4	3	1530
1.01016	4	3	3	1530
1.01016	4	2	3	1530
1.01016	4	1	3	1530
1.01017	2	5	3	1530
1.01017	2	4	3	1530
1.01017	2	3	3	1530
1.01017	2	2	3	1530
1.01017	2	1	3	1530
1.01017	4	5	3	1530
1.01017	4	4	3	1530
1.01017	4	3	3	1530
1.01018	4	2	3	1530
1.01018	4	1	3	1530
1.01018	2	5	3	1530
1.01018	2	4	3	1530
1.01018	2	3	3	1530
1.01018	2	2	3	1530
1.01018	2	1	3	1530
1.01018	4	5	3	1530
1.01019	4	4	3	1530
1.01019	4	3	3	1530
1.01019	4	2	3	1530
1.01019	4	1	3	1530
1.01019	2	5	3	1530
1.01019	2	4	3	1530
1.01019	2	3	3	1530
1.01019	2	2	3	1530
1.0102	2	1	3	1530
1.0102	4	5	3	1530
1.0102	4	4	3	1530
1.0102	4	3	3	1530
1.0102	4	2	3	1530
1.0102	4	1	3	1530
1.0102	2	5	3	1530
1.0102	2	4	3	1530
1.01021	2	3	3	1530
1.01021	2	2	3	1530
1.01021	2	1	3	1530
1.01021	4	5	3	1530
1.01021	4	4	3	1530
1.01021	4	3	3	1530
1.01021	4	2	3	1530
1.01021	4	1	3	1530
1.01022	2	5	3	1530
1.01022	2	4	3	1530
1.01022	2	3	3	1530
1.01022	2	2	3	1530
1.01022	2	1	3	1530
1.01022	4	5	3	1530
1.01022	4	4	3	1530
1.01022	4	3	3	1530
1.01023	4	2	3	1530
1.01023	4	1	3	1530
1.01023	2	5	3	1530
1.01023	2	4	3	1530
1.01023	2	3	3	1530
1.01023	2	2	3	1530
1.01023	2	1	3	1530
1.01023	4	5	3	1530
1.01024	4	4	3	1530
1.01024	4	3	3	1530
1.01024	4	2	3	1530
1.01024	4	1	3	1530
1.01024	2	5	3	1530
1.01024	2	4	3	1530
1.01024	2	3	3	1530
1.01025	2	2	3	1530
1.01025	2	1	3	1530
1.01025	4	5	3	1530
1.01025	4	4	3	1530
1.01025	4	3	3	1530
1.01025	4	2	3	1530
1.01025	4	1	3	1530
1.01025	2	5	3	1530
1.01026	2	4	3	1530
1.01026	2	3	3	1530
1.01026	2	2	3	1530
1.01026	2	1	3	1530
1.01026	4	5	3	1530
1.01026	4	4	3	1530
1.01026	4	3	3	1530
1.01026	4	2	3	1530
1.01027	4	1	3	1530
1.01027	2	5	3	1530
1.01027	2	4	3	1530
1.01027	2	3	3	1530
1.01027	2	2	3	1530
1.01027	2	1	3	1530
1.01027	4	5	3	1530
1.01027	4	4	3	1530
1.01028	4	3	3	1530
1.01028	4	2	3	1530
1.01028	4	1	3	1530
1.01028	2	5	3	1530
1.01028	2	4	3	1530
1.01028	2	3	3	1530
1.01028	2	2	3	1530
1.01028	2	1	3	1530
1.01029	4	5	3	1530
1.01029	4	4	3	1530
1.01029	4	3	3	1530
1.01029	4	2	3	1530
1.01029	4	1	3	1530
1.01029	2	5	3	1530
1.01029	2	4	3	1530
1.01029	2	3	3	1530
1.0103	2	2	3	1530
1.0103	2	1	3	1530
1.0103	4	5	3	1530
1.0103	4	4	3	1530
1.0103	4	3	3	1530
1.0103	4	2	3	1530
1.0103	4	1	3	1530
1.0103	2	5	3	1530
1.01031	2	4	3	1530
1.01031	2	3	3	1530
1.01031	2	2	3	1530
1.01031	2	1	3	1530
1.01031	4	5	3	1530
1.01031	4	4	3	1530
1.01031	4	3	3	1530
1.01031	4	2	3	1530
1.01032	4	1	3	1530
1.01032	2	5	3	1530
1.01032	2	4	3	1530
1.01032	2	3	3	1530
1.01032	2	2	3	1530
1.01032	2	1	3	1530
1.01032	4	5	3	1530
1.01032	4	4	3	1530
1.01033	4	3	3	1530
1.01033	4	2	3	1530
1.01033	4	1	3	1530
1.01033	2	5	3	1530
1.01033	2	4	3	1530
1.01033	2	3	3	1530
1.01033	2	2	3	1530
1.01033	2	1	3	1530
1.01034	4	5	3	1530
1.01034	4	4	3	1530
1.01034	4	3	3	1530
1.01034	4	2	3	1530
1.01034	4	1	3	1530
1.01034	2	5	3	1530
1.01034	2	4	3	1530
1.01034	2	3	3	1530
1.01035	2	2	3	1530
1.01035	2	1	3	1530
1.01035	4	5	3	1530
1.01035	4	4	3	1530
1.01035	4	3	3	1530
1.01035	4	2	3	1530
1.01035	4	1	3	1530
1.01035	2	5	3	1530
1.01036	2	4	3	1530
1.01036	2	3	3	1530
1.01036	2	2	3	1530
