time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.01339	2	5	3	697	0.00238571
1.01339	4	5	3	697	0.00238571
1.01353	2	4	3	463	0.00252857
1.01353	4	4	3	463	0.00252857
1.01367	2	3	3	463	0.00267142
1.01381	2	2	3	463	0.00281428
1.01381	4	2	3	463	0.00281428
1.01396	2	1	3	463	0.00295714
1.01396	4	1	3	463	0.00295714
1.01439	2	5	3	697	0.00238571
1.01439	4	5	3	697	0.00238571
1.0146	2	4	3	697	0.0026
1.0146	4	4	3	697	0.0026
1.01474	2	3	3	463	0.00274285
1.01489	2	2	3	463	0.00288571
1.01489	4	2	3	463	0.00288571
1.01503	2	1	3	463	0.00302856
1.01503	4	1	3	463	0.00302856
1.01539	2	5	3	697	0.00238571
1.01539	4	5	3	697	0.00238571
1.0156	2	4	3	697	0.0026
1.0156	4	4	3	697	0.0026
1.01574	2	3	3	463	0.00274285
1.01589	2	2	3	463	0.00288571
1.01589	4	2	3	463	0.00288571
1.01603	2	1	3	463	0.00302856
1.01603	4	1	3	463	0.00302856
1.01639	2	5	3	697	0.00238571
1.01639	4	5	3	697	0.00238571
1.0166	2	4	3	697	0.0026
1.0166	4	4	3	697	0.0026
1.01674	2	3	3	463	0.00274285
1.01689	2	2	3	463	0.00288571
1.01689	4	2	3	463	0.00288571
1.01703	2	1	3	463	0.00302856
1.01703	4	1	3	463	0.00302856
1.01739	2	5	3	697	0.00238571
1.01739	4	5	3	697	0.00238571
1.0176	2	4	3	697	0.0026
1.0176	4	4	3	697	0.0026
1.01774	2	3	3	463	0.00274285
1.01789	2	2	3	463	0.00288571
1.01789	4	2	3	463	0.00288571
1.01803	2	1	3	463	0.00302856
1.01803	4	1	3	463	0.00302856
1.01839	2	5	3	697	0.00238571
1.0186	2	4	3	697	0.0026
1.01874	2	3	3	463	0.00274285
1.01889	2	2	3	463	0.00288571
1.01903	4	3	3	463	0.00802856
1.01903	2	1	3	463	0.00302856
1.01939	2	5	3	8409	0.00238571
1.0196	2	4	3	8409	0.0026
1.01974	2	3	3	638	0.00274285
1.01989	2	2	3	638	0.00288571
1.02003	4	3	3	463	0.00802856
1.02003	2	1	3	1107	0.00302856
1.02039	2	5	3	8409	0.00238571
1.0206	2	4	3	8409	0.0026
1.02074	2	3	3	638	0.00274285
1.02089	2	2	3	638	0.00288571
1.02103	4	3	3	463	0.00802856
1.02103	2	1	3	1107	0.00302856
1.02139	2	5	3	8409	0.00238571
1.02153	2	4	3	5604	0.00252857
1.02167	2	3	3	638	0.00267142
1.02181	2	2	3	638	0.00281428
1.02196	2	1	3	1107	0.00295714
1.02203	4	3	3	463	0.00802856
1.02239	2	5	3	8409	0.00238571
1.0226	2	4	3	8409	0.0026
1.02274	2	3	3	638	0.00274285
1.02289	2	2	3	638	0.00288571
1.02303	4	3	3	463	0.00802856
1.02303	2	1	3	1107	0.00302856
1.02339	2	5	3	8409	0.00238571
1.02339	4	5	3	10511	0.00238571
1.02353	4	4	3	4320	0.00252857
1.0236	2	4	3	8409	0.0026
1.02367	4	3	3	463	0.00267142
1.02374	2	3	3	638	0.00274285
1.02381	4	2	3	1107	0.00281428
1.02389	2	2	3	638	0.00288571
1.02396	4	1	3	16115	0.00295714
1.02403	2	1	3	1107	0.00302856
1.02439	4	5	3	10511	0.00238571
1.0246	4	4	3	6480	0.0026
1.02489	4	2	3	1107	0.00288571
1.02503	4	1	3	16115	0.00302856
1.02539	4	5	3	10511	0.00238571
1.0256	4	4	3	6480	0.0026
1.02589	4	2	3	1107	0.00288571
1.02603	4	1	3	16115	0.00302856
1.02639	4	5	3	10511	0.00238571
1.0266	4	4	3	6480	0.0026
1.02689	4	2	3	1107	0.00288571
1.02703	4	1	3	16115	0.00302856
1.02739	4	5	3	10511	0.00238571
1.0276	4	4	3	6480	0.0026
1.02789	4	2	3	1107	0.00288571
1.02803	4	1	3	16115	0.00302856
1.02839	4	5	3	10511	0.00238571
1.0286	4	4	3	6480	0.0026
1.02889	4	2	3	1107	0.00288571
1.02903	4	1	3	16115	0.00302856
1.03003	2	5	3	19709	0.00802856
1.03003	2	4	3	19709	0.00802856
1.03003	2	3	3	13137	0.00802856
1.03003	2	2	3	13137	0.00802856
1.03103	2	5	3	19709	0.00802856
1.03103	2	4	3	19709	0.00802856
1.03103	2	3	3	13137	0.00802856
1.03103	2	1	3	13137	0.00902856
1.03203	2	5	3	19709	0.00802856
1.03203	2	4	3	19709	0.00802856
1.03203	2	2	3	13137	0.00902856
1.03203	2	1	3	13137	0.00902856
1.03303	2	5	3	19709	0.00802856
1.03303	2	4	3	19709	0.00802856
1.03303	2	3	3	13137	0.00902856
1.03303	2	2	3	13137	0.00902856
1.03403	2	5	3	19709	0.00802856
1.03403	2	4	3	19709	0.00802856
1.03403	2	3	3	13137	0.00902856
1.03403	2	1	3	13137	0.0100286
1.03503	2	3	3	13137	0.00902856
1.03503	2	2	3	13137	0.0100286
1.03603	2	1	3	13137	0.0100286
1.03689	2	2	3	11387	0.00288571
1.03703	4	3	3	13137	0.0130286
1.03739	2	5	3	19709	0.00238571
1.0376	2	4	3	19709	0.0026
1.03789	2	2	3	11387	0.00288571
1.03803	4	3	3	16115	0.0130286
1.03803	2	1	3	11387	0.00302856
1.03839	2	5	3	19709	0.00238571
1.0386	2	4	3	19709	0.0026
1.03874	2	3	3	11387	0.00274285
1.03889	2	2	3	11387	0.00288571
1.03903	4	3	3	13137	0.0130286
1.03903	2	1	3	11387	0.00302856
1.04139	4	5	3	10511	0.00238571
1.04153	4	4	3	4320	0.00252857
1.04167	4	3	3	463	0.00267142
1.04181	4	2	3	1107	0.00281428
1.04196	4	1	3	16115	0.00295714
1.04203	2	5	3	24176	0.00802856
1.04203	2	4	3	24176	0.00802856
1.04203	2	3	3	16115	0.00802856
1.04203	2	1	3	16115	0.00802856
1.04239	4	5	3	10511	0.00238571
1.0426	4	4	3	6480	0.0026
1.04274	4	3	3	13137	0.00274285
1.04289	4	2	3	1107	0.00288571
1.04303	2	3	3	16115	0.00802856
1.04303	4	1	3	16115	0.00302856
1.04339	4	5	3	10511	0.00238571
1.0436	4	4	3	6480	0.0026
1.04389	4	2	3	1107	0.00288571
1.04403	4	1	3	16115	0.00302856
1.04439	4	5	3	10511	0.00238571
1.0446	4	4	3	6480	0.0026
1.04474	4	3	3	13137	0.00274285
1.04489	4	2	3	1107	0.00288571
1.04503	2	1	3	13137	0.0200286
1.04503	4	1	3	16115	0.00302856
1.04539	4	5	3	10511	0.00238571
1.0456	4	4	3	6480	0.0026
1.04574	4	3	3	463	0.00274285
1.04589	4	2	3	1107	0.00288571
1.04603	2	2	3	13137	0.0200286
1.04603	4	1	3	16115	0.00302856
1.04639	4	5	3	10511	0.00238571
1.0466	4	4	3	6480	0.0026
1.04689	2	2	3	638	0.00288571
1.04689	4	2	3	1107	0.00288571
1.04703	2	1	3	638	0.00302856
1.04703	4	1	3	16115	0.00302856
1.0476	4	4	3	6480	0.0026
1.04789	2	2	3	638	0.00288571
1.04789	4	2	3	1107	0.00288571
1.04803	4	1	3	16115	0.00302856
1.04903	2	5	3	19709	0.00802856
1.04903	2	4	3	19709	0.00802856
1.04903	2	3	3	13137	0.00802856
1.04903	2	1	3	13137	0.00802856
1.04939	4	5	3	10511	0.00238571
1.0496	4	4	3	6480	0.0026
1.04974	4	3	3	463	0.00274285
1.04989	4	2	3	1107	0.00288571
1.05003	2	2	3	13137	0.00902856
1.05003	4	1	3	16115	0.00302856
1.05039	2	5	3	8409	0.00238571
1.0506	2	4	3	8409	0.0026
1.05074	2	3	3	638	0.00274285
1.05089	2	2	3	638	0.00288571
1.05103	4	1	3	16115	0.00302856
1.05203	2	5	3	19709	0.00802856
1.05203	2	4	3	19709	0.00802856
1.05203	2	3	3	13137	0.00802856
1.05203	4	3	3	463	0.00802856
1.05303	2	3	3	16115	0.00802856
1.05303	2	1	3	16115	0.00802856
1.05303	4	5	3	11824	0.00802856
1.05339	2	5	3	8409	0.00238571
1.0536	2	4	3	8409	0.0026
1.05374	2	3	3	638	0.00274285
1.05389	2	2	3	638	0.00288571
1.05403	4	3	3	13137	0.0130286
1.05403	2	1	3	638	0.00302856
1.05439	4	5	3	10511	0.00238571
1.0546	4	4	3	8409	0.0026
1.05489	2	2	3	638	0.00288571
1.05489	4	2	3	1107	0.00288571
1.05503	4	1	3	16115	0.00302856
1.05603	4	5	3	19709	0.00802856
1.05603	4	4	3	19709	0.00802856
1.05603	4	3	3	13137	0.00802856
1.05603	4	2	3	13137	0.00802856
1.05639	2	5	3	8409	0.00238571
1.05639	4	5	3	10511	0.00238571
1.0566	2	4	3	8409	0.0026
1.0566	4	4	3	8409	0.0026
1.05674	2	3	3	638	0.00274285
1.05689	2	2	3	638	0.00288571
1.05689	4	2	3	1107	0.00288571
1.05703	2	1	3	638	0.00302856
1.05703	4	1	3	16115	0.00302856
1.05796	2	5	3	24176	0.0129571
1.05796	2	4	3	24176	0.0129571
1.05803	4	3	3	638	0.0130286
1.0586	4	4	3	8409	0.0026
1.05889	2	2	3	638	0.00288571
1.05889	4	2	3	1107	0.00288571
1.05903	4	1	3	16115	0.00302856
1.05996	2	5	3	19709	0.00795714
1.05996	2	4	3	19709	0.00795714
1.05996	2	3	3	11387	0.00795714
1.05996	2	1	3	11387	0.00795714
1.06003	4	3	3	638	0.00802856
1.06039	4	5	3	10511	0.00238571
1.0606	4	4	3	8409	0.0026
1.06074	4	3	3	463	0.00274285
1.06089	4	2	3	1107	0.00288571
1.06103	2	1	3	16115	0.0130286
1.06103	4	1	3	16115	0.00302856
1.06139	2	5	3	8409	0.00238571
1.0616	2	4	3	8409	0.0026
1.06174	2	3	3	638	0.00274285
1.06189	2	2	3	638	0.00288571
1.06203	4	3	3	463	0.00802856
1.06203	2	1	3	2567	0.00302856
1.06239	2	5	3	8409	0.00238571
1.06239	4	5	3	10511	0.00238571
1.0626	2	4	3	8409	0.0026
1.0626	4	4	3	8409	0.0026
1.06274	2	3	3	638	0.00274285
1.06289	2	2	3	638	0.00288571
1.06289	4	2	3	1107	0.00288571
1.06303	2	1	3	638	0.00302856
1.06303	4	1	3	16115	0.00302856
1.06403	2	5	3	14453	0.00802856
1.06403	2	4	3	14453	0.00802856
1.06403	2	3	3	2567	0.00802856
1.06403	2	1	3	2567	0.00802856
1.06403	4	5	3	11824	0.00802856
1.06439	2	5	3	8409	0.00238571
1.06439	4	5	3	10511	0.00238571
1.0646	2	4	3	8409	0.0026
1.0646	4	4	3	8409	0.0026
1.06474	2	3	3	638	0.00274285
1.06489	2	2	3	638	0.00288571
1.06489	4	2	3	1107	0.00288571
1.06503	2	1	3	638	0.00302856
1.06503	4	1	3	16115	0.00302856
1.06539	4	5	3	10511	0.00238571
1.0656	4	4	3	8409	0.0026
1.06589	2	2	3	638	0.00288571
1.06589	4	2	3	1107	0.00288571
1.06603	4	1	3	16115	0.00302856
1.06689	2	2	3	638	0.00288571
1.06703	4	1	3	16115	0.00302856
1.06739	2	5	3	19709	0.00238571
1.0676	2	4	3	19709	0.0026
1.06774	2	3	3	13137	0.00274285
1.06789	2	2	3	13137	0.00288571
1.06803	4	3	3	463	0.00802856
1.06803	2	1	3	13137	0.00302856
1.06839	2	5	3	8409	0.00238571
1.0686	2	4	3	8409	0.0026
1.06874	2	3	3	638	0.00274285
1.06889	2	2	3	1107	0.00288571
1.06903	4	3	3	463	0.0130286
1.06903	2	1	3	638	0.00302856
1.06939	2	5	3	14453	0.00238571
1.0696	2	4	3	14453	0.0026
1.06974	2	3	3	2567	0.00274285
1.06989	2	2	3	1107	0.00288571
1.07003	4	3	3	463	0.00802856
1.07003	2	1	3	2567	0.00302856
1.07103	2	5	3	19709	0.00802856
1.07103	2	4	3	19709	0.00802856
1.07103	2	3	3	13137	0.00802856
1.07103	2	1	3	13137	0.00802856
1.07203	2	5	3	19709	0.00802856
1.07203	2	4	3	19709	0.00802856
1.07203	4	5	3	19709	0.00802856
1.07203	4	4	3	19709	0.00802856
1.07239	2	5	3	8409	0.00238571
1.07239	4	5	3	10511	0.00238571
1.0726	2	4	3	8409	0.0026
