time(s)	cellId	rnti	lcid	packetSize
1.011	2	5	3	697
1.011	2	4	3	463
1.011	2	3	3	463
1.011	2	2	3	463
1.011	2	1	3	463
1.011	4	5	3	697
1.011	4	4	3	463
1.011	4	3	3	463
1.011	4	2	3	463
1.011	4	1	3	463
1.012	2	5	3	697
1.012	2	4	3	697
1.012	2	3	3	463
1.012	2	2	3	463
1.012	2	1	3	463
1.012	4	5	3	697
1.012	4	4	3	697
1.012	4	3	3	463
1.012	4	2	3	463
1.012	4	1	3	463
1.013	2	5	3	697
1.013	2	4	3	697
1.013	2	3	3	463
1.013	2	2	3	463
1.013	2	1	3	463
1.013	4	5	3	697
1.013	4	4	3	697
1.013	4	3	3	463
1.013	4	2	3	463
1.013	4	1	3	463
1.014	2	5	3	697
1.014	2	4	3	697
1.014	2	3	3	463
1.014	2	2	3	463
1.014	2	1	3	463
1.014	4	5	3	697
1.014	4	4	3	697
1.014	4	3	3	463
1.014	4	2	3	463
1.014	4	1	3	463
1.015	2	5	3	697
1.015	2	4	3	697
1.015	2	3	3	463
1.015	2	2	3	463
1.015	2	1	3	463
1.015	4	5	3	697
1.015	4	4	3	697
1.015	4	3	3	463
1.015	4	2	3	463
1.015	4	1	3	463
1.016	2	5	3	697
1.016	2	4	3	697
1.016	2	3	3	463
1.016	2	2	3	463
1.016	2	1	3	463
1.017	2	5	3	8409
1.017	2	4	3	8409
1.017	2	3	3	638
1.017	2	2	3	638
1.017	2	1	3	1107
1.018	2	5	3	8409
1.018	2	4	3	8409
1.018	2	3	3	638
1.018	2	2	3	638
1.018	2	1	3	1107
1.019	2	5	3	8409
1.019	2	4	3	5604
1.019	2	3	3	638
1.019	2	2	3	638
1.019	2	1	3	1107
1.02	2	5	3	8409
1.02	2	4	3	8409
1.02	2	3	3	638
1.02	2	2	3	638
1.02	2	1	3	1107
1.021	2	5	3	8409
1.021	2	4	3	8409
1.021	2	3	3	638
1.021	2	2	3	638
1.021	2	1	3	1107
1.021	4	5	3	10511
1.021	4	4	3	4320
1.021	4	3	3	463
1.021	4	2	3	1107
1.021	4	1	3	16115
1.022	2	5	3	19709
1.022	2	4	3	19709
1.022	2	3	3	13137
1.022	2	2	3	13137
1.022	2	1	3	13137
1.022	4	5	3	10511
1.022	4	4	3	6480
1.022	4	3	3	13137
1.022	4	2	3	1107
1.022	4	1	3	16115
1.023	2	5	3	19709
1.023	2	4	3	19709
1.023	2	3	3	13137
1.023	2	2	3	13137
1.023	2	1	3	13137
1.023	4	5	3	10511
1.023	4	4	3	6480
1.023	4	3	3	13137
1.023	4	2	3	1107
1.023	4	1	3	16115
1.024	2	5	3	19709
1.024	2	4	3	19709
1.024	2	3	3	13137
1.024	2	2	3	13137
1.024	2	1	3	13137
1.024	4	5	3	10511
1.024	4	4	3	6480
1.024	4	3	3	13137
1.024	4	2	3	1107
1.024	4	1	3	16115
1.025	2	5	3	19709
1.025	2	4	3	19709
1.025	2	3	3	13137
1.025	2	2	3	13137
1.025	2	1	3	13137
1.025	4	5	3	10511
1.025	4	4	3	6480
1.025	4	3	3	16115
1.025	4	2	3	1107
1.025	4	1	3	16115
1.026	2	5	3	19709
1.026	2	4	3	19709
1.026	2	3	3	13137
1.026	2	2	3	13137
1.026	2	1	3	13137
1.026	4	5	3	10511
1.026	4	4	3	6480
1.026	4	3	3	13137
1.026	4	2	3	1107
1.026	4	1	3	16115
1.034	2	5	3	24176
1.034	2	4	3	24176
1.034	2	3	3	16115
1.034	2	2	3	11387
1.034	2	1	3	16115
1.035	2	5	3	19709
1.035	2	4	3	19709
1.035	2	3	3	16115
1.035	2	2	3	11387
1.035	2	1	3	11387
1.036	2	5	3	19709
1.036	2	4	3	19709
1.036	2	3	3	11387
1.036	2	2	3	11387
1.036	2	1	3	11387
1.039	4	5	3	10511
1.039	4	4	3	4320
1.039	4	3	3	463
1.039	4	2	3	1107
1.039	4	1	3	16115
1.04	4	5	3	10511
1.04	4	4	3	6480
1.04	4	3	3	13137
1.04	4	2	3	1107
1.04	4	1	3	16115
1.041	2	5	3	19709
1.041	2	4	3	19709
1.041	2	3	3	13137
1.041	2	2	3	13137
1.041	2	1	3	13137
1.041	4	5	3	10511
1.041	4	4	3	6480
1.041	4	3	3	13137
1.041	4	2	3	1107
1.041	4	1	3	16115
1.042	4	5	3	10511
1.042	4	4	3	6480
1.042	4	3	3	13137
1.042	4	2	3	1107
1.042	4	1	3	16115
1.043	4	5	3	10511
1.043	4	4	3	6480
1.043	4	3	3	463
1.043	4	2	3	1107
1.043	4	1	3	16115
1.044	2	5	3	19709
1.044	2	4	3	19709
1.044	2	3	3	13137
1.044	2	2	3	638
1.044	2	1	3	638
1.044	4	5	3	10511
1.044	4	4	3	6480
1.044	4	3	3	463
1.044	4	2	3	1107
1.044	4	1	3	16115
1.045	2	5	3	24176
1.045	2	4	3	24176
1.045	2	3	3	16115
1.045	2	2	3	638
1.045	2	1	3	16115
1.045	4	5	3	11824
1.045	4	4	3	6480
1.045	4	3	3	638
1.045	4	2	3	1107
1.045	4	1	3	16115
1.047	4	5	3	10511
1.047	4	4	3	6480
1.047	4	3	3	463
1.047	4	2	3	1107
1.047	4	1	3	16115
1.048	2	5	3	8409
1.048	2	4	3	8409
1.048	2	3	3	638
1.048	2	2	3	638
1.048	2	1	3	16115
1.048	4	5	3	19709
1.048	4	4	3	19709
1.048	4	3	3	13137
1.048	4	2	3	13137
1.048	4	1	3	16115
1.051	2	5	3	8409
1.051	2	4	3	8409
1.051	2	3	3	638
1.051	2	2	3	638
1.051	2	1	3	638
1.052	2	5	3	19709
1.052	2	4	3	19709
1.052	2	3	3	11387
1.052	2	2	3	638
1.052	2	1	3	11387
1.052	4	5	3	10511
1.052	4	4	3	8409
1.052	4	3	3	638
1.052	4	2	3	1107
1.052	4	1	3	16115
1.054	2	5	3	8409
1.054	2	4	3	8409
1.054	2	3	3	638
1.054	2	2	3	638
1.054	2	1	3	638
1.054	4	5	3	10511
1.054	4	4	3	8409
1.054	4	3	3	463
1.054	4	2	3	1107
1.054	4	1	3	16115
1.056	2	5	3	14453
1.056	2	4	3	14453
1.056	2	3	3	2567
1.056	2	2	3	638
1.056	2	1	3	2567
1.056	4	5	3	11824
1.056	4	4	3	8409
1.056	4	3	3	463
1.056	4	2	3	1107
1.056	4	1	3	16115
1.058	4	5	3	10511
1.058	4	4	3	8409
1.058	4	3	3	463
1.058	4	2	3	1107
1.058	4	1	3	16115
1.059	2	5	3	8409
1.059	2	4	3	8409
1.059	2	3	3	638
1.059	2	2	3	638
1.059	2	1	3	2567
1.06	2	5	3	8409
1.06	2	4	3	8409
1.06	2	3	3	638
1.06	2	2	3	638
1.06	2	1	3	638
1.06	4	5	3	10511
1.06	4	4	3	8409
1.06	4	3	3	463
1.06	4	2	3	1107
1.06	4	1	3	16115
1.062	2	5	3	8409
1.062	2	4	3	8409
1.062	2	3	3	638
1.062	2	2	3	638
1.062	2	1	3	638
1.062	4	5	3	10511
1.062	4	4	3	8409
1.062	4	3	3	463
1.062	4	2	3	1107
1.062	4	1	3	16115
1.063	2	5	3	19709
1.063	2	4	3	19709
1.063	2	3	3	13137
1.063	2	2	3	638
1.063	2	1	3	13137
1.063	4	5	3	10511
1.063	4	4	3	8409
1.063	4	3	3	16115
1.063	4	2	3	1107
1.063	4	1	3	16115
1.064	2	5	3	19709
1.064	2	4	3	19709
1.064	2	3	3	13137
1.064	2	2	3	638
1.064	2	1	3	16115
1.064	4	5	3	19709
1.064	4	4	3	19709
1.064	4	3	3	13137
1.064	4	2	3	13137
1.064	4	1	3	16115
1.065	2	5	3	19709
1.065	2	4	3	19709
1.065	2	3	3	13137
1.065	2	2	3	13137
1.065	2	1	3	13137
1.066	2	5	3	8409
1.066	2	4	3	8409
1.066	2	3	3	638
1.066	2	2	3	1107
1.066	2	1	3	638
1.067	2	5	3	14453
1.067	2	4	3	14453
1.067	2	3	3	2567
1.067	2	2	3	1107
1.067	2	1	3	2567
1.07	2	5	3	8409
1.07	2	4	3	8409
1.07	2	3	3	638
1.07	2	2	3	1107
1.07	2	1	3	638
1.07	4	5	3	10511
1.07	4	4	3	8409
1.07	4	3	3	463
1.07	4	2	3	1107
1.07	4	1	3	16115
1.071	2	5	3	19709
1.071	2	4	3	19709
1.071	2	3	3	13137
1.071	2	2	3	13137
1.071	2	1	3	13137
1.071	4	5	3	10511
1.071	4	4	3	8409
1.071	4	3	3	13137
1.071	4	2	3	1107
1.071	4	1	3	16115
1.072	2	5	3	19709
1.072	2	4	3	13137
1.072	2	3	3	13137
1.072	2	2	3	13137
1.072	2	1	3	13137
1.072	4	5	3	10511
1.072	4	4	3	8409
1.072	4	3	3	13137
1.072	4	2	3	1107
1.072	4	1	3	16115
1.073	2	5	3	19709
1.073	2	4	3	19709
1.073	2	3	3	13137
1.073	2	2	3	13137
1.073	2	1	3	13137
1.075	2	5	3	10511
1.075	2	4	3	8409
1.075	2	3	3	638
1.075	2	2	3	13137
1.075	2	1	3	638
1.078	2	5	3	8409
1.078	2	4	3	8409
1.078	2	3	3	9634
1.078	2	2	3	9634
1.078	2	1	3	16115
1.078	4	5	3	10511
1.078	4	4	3	24176
1.078	4	3	3	7005
1.078	4	2	3	7882
1.078	4	1	3	16115
1.08	2	5	3	19709
1.08	2	4	3	19709
1.08	2	3	3	638
1.08	2	2	3	13137
1.08	2	1	3	638
1.08	4	5	3	10511
1.08	4	4	3	24176
1.08	4	3	3	463
1.08	4	2	3	463
1.08	4	1	3	16115
1.081	2	5	3	19709
1.081	2	4	3	19709
1.081	2	3	3	13137
1.081	2	2	3	13137
1.081	2	1	3	13137
1.082	2	5	3	19709
1.082	2	4	3	19709
1.082	2	3	3	11387
1.082	2	2	3	11387
1.082	2	1	3	13137
1.084	2	5	3	8409
1.084	2	4	3	8409
1.084	2	3	3	638
1.084	2	2	3	1107
1.084	2	1	3	638
1.084	4	5	3	10511
1.084	4	4	3	6480
1.084	4	3	3	463
1.084	4	2	3	1107
1.084	4	1	3	16115
1.086	2	5	3	8409
1.086	2	4	3	8409
1.086	2	3	3	638
1.086	2	2	3	1107
1.086	2	1	3	638
1.086	4	5	3	10511
1.086	4	4	3	6480
1.086	4	3	3	463
1.086	4	2	3	1107
1.086	4	1	3	16115
1.087	2	5	3	19709
1.087	2	4	3	19709
1.087	2	3	3	13137
1.087	2	2	3	13137
1.087	2	1	3	13137
1.087	4	5	3	10511
1.087	4	4	3	6480
1.087	4	3	3	13137
1.087	4	2	3	1107
1.087	4	1	3	16115
1.089	2	5	3	19709
1.089	2	4	3	19709
1.089	2	3	3	638
1.089	2	2	3	1107
1.089	2	1	3	638
1.09	2	5	3	8409
1.09	2	4	3	8409
1.09	2	3	3	638
1.09	2	2	3	1107
1.09	2	1	3	638
1.091	2	5	3	11824
