Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	2	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	4	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	4	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	4	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	4	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	4	0	0	RACH_PREAMBLE
0.0348571	UE  PHY Txed	3	4	0	2	2	0	SRS
0.0508571	UE  PHY Txed	5	0	0	4	5	0	SRS
0.0538571	UE  PHY Txed	5	3	0	2	4	0	SRS
0.0538571	UE  PHY Txed	5	3	0	4	3	0	SRS
0.0618571	UE  PHY Txed	6	1	0	2	1	0	SRS
0.0638571	UE  PHY Txed	6	3	0	4	1	0	SRS
0.0708571	UE  PHY Txed	7	0	0	4	2	0	SRS
0.0818571	UE  PHY Txed	8	1	0	4	4	0	SRS
0.0978571	UE  PHY Txed	9	7	0	2	3	0	SRS
0.0998571	UE  PHY Txed	9	9	0	2	5	0	SRS
0.114857	UE  PHY Txed	11	4	0	2	2	0	SRS
0.130857	UE  PHY Txed	13	0	0	4	5	0	SRS
0.133857	UE  PHY Txed	13	3	0	2	4	0	SRS
0.133857	UE  PHY Txed	13	3	0	4	3	0	SRS
0.141857	UE  PHY Txed	14	1	0	2	1	0	SRS
0.143857	UE  PHY Txed	14	3	0	4	1	0	SRS
0.150857	UE  PHY Txed	15	0	0	4	2	0	SRS
0.161857	UE  PHY Txed	16	1	0	4	4	0	SRS
0.177857	UE  PHY Txed	17	7	0	2	3	0	SRS
0.179857	UE  PHY Txed	17	9	0	2	5	0	SRS
0.194857	UE  PHY Txed	19	4	0	2	2	0	SRS
0.210857	UE  PHY Txed	21	0	0	4	5	0	SRS
0.213857	UE  PHY Txed	21	3	0	2	4	0	SRS
0.213857	UE  PHY Txed	21	3	0	4	3	0	SRS
0.221857	UE  PHY Txed	22	1	0	2	1	0	SRS
0.223857	UE  PHY Txed	22	3	0	4	1	0	SRS
0.230857	UE  PHY Txed	23	0	0	4	2	0	SRS
0.241857	UE  PHY Txed	24	1	0	4	4	0	SRS
0.257857	UE  PHY Txed	25	7	0	2	3	0	SRS
0.259857	UE  PHY Txed	25	9	0	2	5	0	SRS
0.274857	UE  PHY Txed	27	4	0	2	2	0	SRS
0.290857	UE  PHY Txed	29	0	0	4	5	0	SRS
0.293857	UE  PHY Txed	29	3	0	2	4	0	SRS
0.293857	UE  PHY Txed	29	3	0	4	3	0	SRS
0.301857	UE  PHY Txed	30	1	0	2	1	0	SRS
0.303857	UE  PHY Txed	30	3	0	4	1	0	SRS
0.310857	UE  PHY Txed	31	0	0	4	2	0	SRS
0.321857	UE  PHY Txed	32	1	0	4	4	0	SRS
0.337857	UE  PHY Txed	33	7	0	2	3	0	SRS
0.339857	UE  PHY Txed	33	9	0	2	5	0	SRS
0.354857	UE  PHY Txed	35	4	0	2	2	0	SRS
0.370857	UE  PHY Txed	37	0	0	4	5	0	SRS
0.373857	UE  PHY Txed	37	3	0	2	4	0	SRS
0.373857	UE  PHY Txed	37	3	0	4	3	0	SRS
0.381857	UE  PHY Txed	38	1	0	2	1	0	SRS
0.383857	UE  PHY Txed	38	3	0	4	1	0	SRS
0.390857	UE  PHY Txed	39	0	0	4	2	0	SRS
0.401857	UE  PHY Txed	40	1	0	4	4	0	SRS
0.417857	UE  PHY Txed	41	7	0	2	3	0	SRS
0.419857	UE  PHY Txed	41	9	0	2	5	0	SRS
0.434857	UE  PHY Txed	43	4	0	2	2	0	SRS
0.450857	UE  PHY Txed	45	0	0	4	5	0	SRS
0.453857	UE  PHY Txed	45	3	0	2	4	0	SRS
0.453857	UE  PHY Txed	45	3	0	4	3	0	SRS
0.461857	UE  PHY Txed	46	1	0	2	1	0	SRS
0.463857	UE  PHY Txed	46	3	0	4	1	0	SRS
0.470857	UE  PHY Txed	47	0	0	4	2	0	SRS
0.481857	UE  PHY Txed	48	1	0	4	4	0	SRS
0.497857	UE  PHY Txed	49	7	0	2	3	0	SRS
0.499857	UE  PHY Txed	49	9	0	2	5	0	SRS
0.514857	UE  PHY Txed	51	4	0	2	2	0	SRS
0.530857	UE  PHY Txed	53	0	0	4	5	0	SRS
0.533857	UE  PHY Txed	53	3	0	2	4	0	SRS
0.533857	UE  PHY Txed	53	3	0	4	3	0	SRS
0.541857	UE  PHY Txed	54	1	0	2	1	0	SRS
0.543857	UE  PHY Txed	54	3	0	4	1	0	SRS
0.550857	UE  PHY Txed	55	0	0	4	2	0	SRS
0.561857	UE  PHY Txed	56	1	0	4	4	0	SRS
0.577857	UE  PHY Txed	57	7	0	2	3	0	SRS
0.579857	UE  PHY Txed	57	9	0	2	5	0	SRS
0.594857	UE  PHY Txed	59	4	0	2	2	0	SRS
0.610857	UE  PHY Txed	61	0	0	4	5	0	SRS
0.613857	UE  PHY Txed	61	3	0	2	4	0	SRS
0.613857	UE  PHY Txed	61	3	0	4	3	0	SRS
0.621857	UE  PHY Txed	62	1	0	2	1	0	SRS
0.623857	UE  PHY Txed	62	3	0	4	1	0	SRS
0.630857	UE  PHY Txed	63	0	0	4	2	0	SRS
0.641857	UE  PHY Txed	64	1	0	4	4	0	SRS
0.657857	UE  PHY Txed	65	7	0	2	3	0	SRS
0.659857	UE  PHY Txed	65	9	0	2	5	0	SRS
0.674857	UE  PHY Txed	67	4	0	2	2	0	SRS
0.690857	UE  PHY Txed	69	0	0	4	5	0	SRS
0.693857	UE  PHY Txed	69	3	0	2	4	0	SRS
0.693857	UE  PHY Txed	69	3	0	4	3	0	SRS
0.701857	UE  PHY Txed	70	1	0	2	1	0	SRS
0.703857	UE  PHY Txed	70	3	0	4	1	0	SRS
0.710857	UE  PHY Txed	71	0	0	4	2	0	SRS
0.721857	UE  PHY Txed	72	1	0	4	4	0	SRS
0.737857	UE  PHY Txed	73	7	0	2	3	0	SRS
0.739857	UE  PHY Txed	73	9	0	2	5	0	SRS
0.754857	UE  PHY Txed	75	4	0	2	2	0	SRS
0.770857	UE  PHY Txed	77	0	0	4	5	0	SRS
0.773857	UE  PHY Txed	77	3	0	2	4	0	SRS
0.773857	UE  PHY Txed	77	3	0	4	3	0	SRS
0.781857	UE  PHY Txed	78	1	0	2	1	0	SRS
0.783857	UE  PHY Txed	78	3	0	4	1	0	SRS
0.790857	UE  PHY Txed	79	0	0	4	2	0	SRS
0.801857	UE  PHY Txed	80	1	0	4	4	0	SRS
0.817857	UE  PHY Txed	81	7	0	2	3	0	SRS
0.819857	UE  PHY Txed	81	9	0	2	5	0	SRS
0.834857	UE  PHY Txed	83	4	0	2	2	0	SRS
0.850857	UE  PHY Txed	85	0	0	4	5	0	SRS
0.853857	UE  PHY Txed	85	3	0	2	4	0	SRS
0.853857	UE  PHY Txed	85	3	0	4	3	0	SRS
0.861857	UE  PHY Txed	86	1	0	2	1	0	SRS
0.863857	UE  PHY Txed	86	3	0	4	1	0	SRS
0.870857	UE  PHY Txed	87	0	0	4	2	0	SRS
0.881857	UE  PHY Txed	88	1	0	4	4	0	SRS
0.897857	UE  PHY Txed	89	7	0	2	3	0	SRS
0.899857	UE  PHY Txed	89	9	0	2	5	0	SRS
0.914857	UE  PHY Txed	91	4	0	2	2	0	SRS
0.930857	UE  PHY Txed	93	0	0	4	5	0	SRS
0.933857	UE  PHY Txed	93	3	0	2	4	0	SRS
0.933857	UE  PHY Txed	93	3	0	4	3	0	SRS
0.941857	UE  PHY Txed	94	1	0	2	1	0	SRS
0.943857	UE  PHY Txed	94	3	0	4	1	0	SRS
0.950857	UE  PHY Txed	95	0	0	4	2	0	SRS
0.961857	UE  PHY Txed	96	1	0	4	4	0	SRS
0.977857	UE  PHY Txed	97	7	0	2	3	0	SRS
0.979857	UE  PHY Txed	97	9	0	2	5	0	SRS
0.994857	UE  PHY Txed	99	4	0	2	2	0	SRS
1.01086	UE  PHY Txed	101	0	0	4	5	0	SRS
1.01386	UE  PHY Txed	101	3	0	2	4	0	SRS
1.01386	UE  PHY Txed	101	3	0	4	3	0	SRS
1.01593	UE  PHY Txed	101	5	0	2	0	0	DL_HARQ
1.01593	UE  PHY Txed	101	5	0	4	0	0	DL_HARQ
1.01593	UE  PHY Txed	101	5	0	4	0	0	DL_HARQ
1.01593	UE  PHY Txed	101	5	0	2	0	0	DL_HARQ
1.01593	UE  PHY Txed	101	5	0	2	0	0	DL_HARQ
1.01593	UE  PHY Txed	101	5	0	4	0	0	DL_HARQ
1.01593	UE  PHY Txed	101	5	0	4	0	0	DL_HARQ
1.01593	UE  PHY Txed	101	5	0	2	0	0	DL_HARQ
1.01593	UE  PHY Txed	101	5	0	2	0	0	DL_HARQ
1.01593	UE  PHY Txed	101	5	0	4	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	2	0	0	DL_HARQ
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_CQI
1.01693	UE  PHY Txed	101	6	0	4	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	2	0	0	DL_HARQ
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_CQI
1.01793	UE  PHY Txed	101	7	0	4	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	4	0	0	DL_HARQ
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_CQI
1.01893	UE  PHY Txed	101	8	0	2	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	4	0	0	DL_HARQ
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_CQI
1.01993	UE  PHY Txed	101	9	0	2	0	0	DL_HARQ
1.02093	UE  PHY Txed	102	0	0	4	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	4	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	4	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	4	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_HARQ
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_HARQ
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_HARQ
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_HARQ
1.02093	UE  PHY Txed	102	0	0	4	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	4	0	0	DL_HARQ
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_CQI
1.02093	UE  PHY Txed	102	0	0	2	0	0	DL_HARQ
1.02186	UE  PHY Txed	102	1	0	2	1	0	SRS
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_CQI
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_HARQ
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_CQI
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_HARQ
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_CQI
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_HARQ
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_CQI
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_HARQ
1.02193	UE  PHY Txed	102	1	0	4	0	0	DL_CQI
1.02193	UE  PHY Txed	102	1	0	4	0	0	DL_HARQ
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_CQI
1.02193	UE  PHY Txed	102	1	0	2	0	0	DL_HARQ
1.02293	UE  PHY Txed	102	2	0	2	0	0	DL_CQI
1.02293	UE  PHY Txed	102	2	0	2	0	0	DL_HARQ
1.02293	UE  PHY Txed	102	2	0	2	0	0	DL_CQI
1.02293	UE  PHY Txed	102	2	0	2	0	0	DL_HARQ
1.02293	UE  PHY Txed	102	2	0	2	0	0	DL_CQI
