Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-90.8393
0.0179286	1	0	2	-83.3808
0.0179286	1	0	3	-91.8355
0.0179286	1	0	4	-89.6864
0.0179286	1	0	5	-81.08
0.0179286	3	0	6	-90.3573
0.0179286	3	0	7	-84.1863
0.0179286	3	0	8	-99.3484
0.0179286	3	0	9	-89.9757
0.0179286	3	0	10	-83.2758
0.0348571	1	0	4	-89.5123
0.0508571	3	0	6	-90.1819
0.0538571	1	0	2	-83.7437
0.0538571	3	0	8	-99.0414
0.0618571	1	0	5	-81.6727
0.0638571	3	0	10	-83.5938
0.0708571	3	0	9	-89.7265
0.0818571	3	0	7	-83.6599
0.0978571	1	0	3	-91.7102
0.0998571	1	0	1	-91.0089
0.114857	1	0	4	-89.8632
0.130857	3	0	6	-90.2602
0.133857	1	0	2	-83.6566
0.133857	3	0	8	-98.2169
0.141857	1	0	5	-82.0328
0.143857	3	0	10	-83.6227
0.150857	3	0	9	-89.3562
0.161857	3	0	7	-83.5947
0.177857	1	0	3	-91.8224
0.179857	1	0	1	-90.0228
0.194857	1	0	4	-90.8447
0.210857	3	0	6	-90.6406
0.213857	1	0	2	-83.9775
0.213857	3	0	8	-98.9974
0.221857	1	0	5	-82.4213
0.223857	3	0	10	-82.9656
0.230857	3	0	9	-89.5084
0.241857	3	0	7	-84.3246
0.257857	1	0	3	-91.7078
0.259857	1	0	1	-89.6459
0.274857	1	0	4	-91.2059
0.290857	3	0	6	-90.5605
0.293857	1	0	2	-84.8146
0.293857	3	0	8	-98.8285
0.301857	1	0	5	-82.0634
0.303857	3	0	10	-82.7248
0.310857	3	0	9	-89.7053
0.321857	3	0	7	-85.1177
0.337857	1	0	3	-91.4572
0.339857	1	0	1	-89.2094
0.354857	1	0	4	-91.901
0.370857	3	0	6	-91.0603
0.373857	1	0	2	-86.1102
0.373857	3	0	8	-98.7521
0.381857	1	0	5	-82.1713
0.383857	3	0	10	-82.5066
0.390857	3	0	9	-88.7616
0.401857	3	0	7	-84.828
0.417857	1	0	3	-92.2994
0.419857	1	0	1	-88.5532
0.434857	1	0	4	-91.8257
0.450857	3	0	6	-90.5264
0.453857	1	0	2	-86.0518
0.453857	3	0	8	-98.8474
0.461857	1	0	5	-82.0702
0.463857	3	0	10	-82.6467
0.470857	3	0	9	-89.1974
0.481857	3	0	7	-84.9767
0.497857	1	0	3	-93.8532
0.499857	1	0	1	-88.7494
0.514857	1	0	4	-91.575
0.530857	3	0	6	-90.7387
0.533857	1	0	2	-85.4857
0.533857	3	0	8	-98.8237
0.541857	1	0	5	-82.3916
0.543857	3	0	10	-82.072
0.550857	3	0	9	-89.6795
0.561857	3	0	7	-84.1133
0.577857	1	0	3	-94.1
0.579857	1	0	1	-88.869
0.594857	1	0	4	-92.1555
0.610857	3	0	6	-91.0663
0.613857	1	0	2	-85.348
0.613857	3	0	8	-99.3292
0.621857	1	0	5	-82.0678
0.623857	3	0	10	-82.1092
0.630857	3	0	9	-90.5753
0.641857	3	0	7	-83.8747
0.657857	1	0	3	-94.4297
0.659857	1	0	1	-89.2514
0.674857	1	0	4	-93.2887
0.690857	3	0	6	-90.5877
0.693857	1	0	2	-85.4224
0.693857	3	0	8	-99.0417
0.701857	1	0	5	-82.5901
0.703857	3	0	10	-81.8863
0.710857	3	0	9	-89.9635
0.721857	3	0	7	-84.0688
0.737857	1	0	3	-94.8193
0.739857	1	0	1	-88.9167
0.754857	1	0	4	-94.0441
0.770857	3	0	6	-89.692
0.773857	1	0	2	-85.7346
0.773857	3	0	8	-98.6961
0.781857	1	0	5	-83.161
0.783857	3	0	10	-82.0241
0.790857	3	0	9	-90.825
0.801857	3	0	7	-85.0153
0.817857	1	0	3	-94.9981
0.819857	1	0	1	-89.4854
0.834857	1	0	4	-94.1367
0.850857	3	0	6	-89.2615
0.853857	1	0	2	-85.3258
0.853857	3	0	8	-99.107
0.861857	1	0	5	-82.4332
0.863857	3	0	10	-82.8375
0.870857	3	0	9	-91.8223
0.881857	3	0	7	-84.043
0.897857	1	0	3	-95.374
0.899857	1	0	1	-89.5242
0.914857	1	0	4	-94.5016
0.930857	3	0	6	-88.9837
0.933857	1	0	2	-85.0818
0.933857	3	0	8	-98.413
0.941857	1	0	5	-82.5441
0.943857	3	0	10	-82.6963
0.950857	3	0	9	-91.9036
0.961857	3	0	7	-84.3241
0.977857	1	0	3	-95.6079
0.979857	1	0	1	-90.0804
0.994857	1	0	4	-94.0893
1.01086	3	0	6	-88.7855
1.01386	1	0	2	-84.71
1.01386	3	0	8	-98.1511
1.01593	1	0	1	-90.5457
1.01593	3	0	6	-88.9057
1.01593	3	0	7	-84.6629
1.01593	1	0	2	-84.7927
1.01593	1	0	3	-95.4517
1.01593	3	0	8	-98.1329
1.01593	3	0	9	-92.1926
1.01593	1	0	4	-94
1.01593	1	0	5	-82.6159
1.01593	3	0	10	-83.0056
1.01693	1	0	1	-90.6372
1.01693	3	0	6	-88.9159
1.01693	3	0	7	-84.6678
1.01693	1	0	2	-84.7993
1.01693	1	0	3	-95.3802
1.01693	3	0	8	-98.121
1.01693	3	0	9	-92.2285
1.01693	1	0	4	-94.0663
1.01693	1	0	5	-82.647
1.01693	3	0	10	-82.9905
1.01793	1	0	1	-90.6509
1.01793	3	0	6	-88.9792
1.01793	3	0	7	-84.6245
1.01793	1	0	2	-84.7878
1.01793	1	0	3	-95.4248
1.01793	3	0	8	-98.1159
1.01793	3	0	9	-92.1458
1.01793	1	0	4	-94.0269
1.01793	1	0	5	-82.6204
1.01793	3	0	10	-83.0854
1.01893	3	0	6	-88.9403
1.01893	3	0	7	-84.6611
1.01893	3	0	9	-92.1686
1.01893	3	0	10	-83.0481
1.01893	1	0	1	-90.6912
1.01893	1	0	2	-84.755
1.01893	1	0	3	-95.3751
1.01893	1	0	4	-93.9594
1.01893	3	0	8	-97.9759
1.01893	1	0	5	-82.6629
1.01993	3	0	6	-88.9124
1.01993	3	0	7	-84.7575
