Time,CellId,RNTI,BWPId,SINR(dB)
1.01329,2,5,0,22.0612
1.01329,4,5,0,23.676
1.01343,2,4,0,20.8427
1.01343,4,4,0,20.1024
1.01357,2,3,0,8.23607
1.01357,4,3,0,-0.560164
1.01371,2,2,0,10.2751
1.01371,4,2,0,12.3827
1.01386,2,1,0,10.7373
1.01386,4,1,0,58.9632
1.01429,2,5,0,22.0833
1.01429,4,5,0,23.7686
1.0145,2,4,0,21.0333
1.0145,4,4,0,20.1083
1.01464,2,3,0,8.23464
1.01464,4,3,0,-0.590768
1.01479,2,2,0,10.3234
1.01479,4,2,0,12.3594
1.01493,2,1,0,10.6927
1.01493,4,1,0,58.9228
1.01529,2,5,0,22.1329
1.01529,4,5,0,23.6447
1.0155,2,4,0,20.9244
1.0155,4,4,0,20.0916
1.01564,2,3,0,8.30146
1.01564,4,3,0,-0.517143
1.01579,2,2,0,10.3234
1.01579,4,2,0,12.3946
1.01593,2,1,0,10.6869
1.01593,4,1,0,58.9729
1.01629,2,5,0,22.0281
1.01629,4,5,0,23.6274
1.0165,2,4,0,20.8746
1.0165,4,4,0,20.1503
1.01664,2,3,0,8.36562
1.01664,4,3,0,-0.462383
1.01679,2,2,0,10.3003
1.01679,4,2,0,12.2777
1.01693,2,1,0,10.6717
1.01693,4,1,0,58.8341
1.01729,2,5,0,21.9144
1.01729,4,5,0,23.6139
1.0175,2,4,0,20.8545
1.0175,4,4,0,20.0736
1.01764,2,3,0,8.40169
1.01764,4,3,0,-0.437829
1.01779,2,2,0,10.3568
1.01779,4,2,0,12.3442
1.01793,2,1,0,10.6905
1.01793,4,1,0,58.6121
1.01829,2,5,0,76.9936
1.0185,2,4,0,84.2922
1.01864,2,3,0,73.4165
1.01879,2,2,0,74.8133
1.01893,4,3,0,22.3734
1.01893,2,1,0,85.7061
1.01929,2,5,0,76.9892
1.0195,2,4,0,84.3124
1.01964,2,3,0,73.5082
1.01979,2,2,0,74.8441
1.01993,4,3,0,22.4614
1.01993,2,1,0,85.7937
1.02029,2,5,0,76.9951
1.0205,2,4,0,84.3571
1.02064,2,3,0,73.4818
1.02079,2,2,0,74.8928
1.02093,4,3,0,22.6551
1.02093,2,1,0,85.7904
1.02129,2,5,0,77.0247
1.02143,2,4,0,84.3016
1.02157,2,3,0,73.4977
1.02171,2,2,0,74.9173
1.02186,2,1,0,85.6759
1.02193,4,3,0,61.249
1.02229,2,5,0,77.0262
1.0225,2,4,0,84.4584
1.02264,2,3,0,73.5102
1.02279,2,2,0,74.935
1.02293,4,3,0,22.7142
1.02293,2,1,0,85.7463
1.02329,2,5,0,22.1061
1.02329,4,5,0,23.4389
1.02343,4,4,0,19.8299
1.0235,2,4,0,35.1528
1.02357,4,3,0,23.7525
1.02364,2,3,0,25.9529
1.02371,4,2,0,26.5961
1.02379,2,2,0,27.3108
1.02386,4,1,0,57.9311
1.02393,2,1,0,83.5028
1.02429,2,5,0,22.135
1.02429,4,5,0,23.2994
1.0245,2,4,0,21.0975
1.0245,4,4,0,19.9268
1.02464,2,3,0,8.55966
1.02464,4,3,0,0.112029
1.02479,2,2,0,10.5005
1.02479,4,2,0,12.1501
1.02493,2,1,0,10.7962
1.02493,4,1,0,58.1459
1.02529,2,5,0,22.0769
1.02529,4,5,0,23.3755
1.0255,2,4,0,21.1539
1.0255,4,4,0,19.8434
1.02564,2,3,0,8.44083
1.02564,4,3,0,0.109944
1.02579,2,2,0,10.5914
