Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.01329,DL,101,3,0,1,3,1,0,5,5,700,0,1,0,8.01617,0,0
1.01329,DL,101,3,0,1,3,3,0,5,5,700,0,1,0,9.63097,0,0
1.01343,DL,101,3,0,4,2,1,0,4,4,466,0,1,0,6.79757,0,0
1.01343,DL,101,3,0,4,2,3,0,4,4,466,0,1,0,6.05737,0,0
1.01357,DL,101,3,0,6,2,1,0,3,3,466,0,1,0,-5.80901,0,0
1.01357,DL,101,3,0,6,2,3,0,3,3,466,0,1,0,-14.6052,1,1
1.01371,DL,101,3,0,8,2,1,0,2,2,466,0,1,0,-3.77003,0,0
1.01371,DL,101,3,0,8,2,3,0,2,2,466,0,1,0,-1.66238,0,0
1.01386,DL,101,3,0,10,2,1,0,1,1,466,0,1,0,-3.30777,0,0
1.01386,DL,101,3,0,10,2,3,0,1,1,466,0,1,0,44.9181,0,0
1.01429,DL,101,4,0,1,3,1,0,5,5,700,0,1,0,8.0382,0,0
1.01429,DL,101,4,0,1,3,3,0,5,5,700,0,1,0,9.7235,0,0
1.0145,DL,101,4,0,4,3,1,0,4,4,700,0,1,0,6.9882,0,0
1.0145,DL,101,4,0,4,3,3,0,4,4,700,0,1,0,6.0632,0,0
1.01464,DL,101,4,0,7,2,1,0,3,3,466,0,1,0,-5.81044,0,0
1.01464,DL,101,4,0,7,2,3,0,3,3,466,0,1,0,-14.6358,1,1
1.01479,DL,101,4,0,9,2,1,0,2,2,466,0,1,0,-3.7217,0,0
1.01479,DL,101,4,0,9,2,3,0,2,2,466,0,1,0,-1.68571,0,0
1.01493,DL,101,4,0,11,2,1,0,1,1,466,0,1,0,-3.35241,0,0
1.01493,DL,101,4,0,11,2,3,0,1,1,466,0,1,0,44.8777,0,0
1.01529,DL,101,5,0,1,3,1,0,5,5,700,0,1,0,8.08784,0,0
1.01529,DL,101,5,0,1,3,3,0,5,5,700,0,1,0,9.59966,0,0
1.0155,DL,101,5,0,4,3,1,0,4,4,700,0,1,0,6.87933,0,0
1.0155,DL,101,5,0,4,3,3,0,4,4,700,0,1,0,6.04649,0,0
