Time,Entity,Frame,SF,Slot,nodeId,RNTI,bwpId,MsgType
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.018,ENB,PHY,Rxed,1,7,0,4,0
0.018,ENB,PHY,Rxed,1,7,0,4,0
0.018,ENB,PHY,Rxed,1,7,0,4,0
0.018,ENB,PHY,Rxed,1,7,0,4,0
0.018,ENB,PHY,Rxed,1,7,0,4,0
0.0349286,ENB,PHY,Rxed,3,4,0,2,0
0.0509286,ENB,PHY,Rxed,5,0,0,4,0
0.0539286,ENB,PHY,Rxed,5,3,0,2,0
0.0539286,ENB,PHY,Rxed,5,3,0,4,0
0.0619286,ENB,PHY,Rxed,6,1,0,2,0
0.0639286,ENB,PHY,Rxed,6,3,0,4,0
0.0709286,ENB,PHY,Rxed,7,0,0,4,0
0.0819286,ENB,PHY,Rxed,8,1,0,4,0
0.0979286,ENB,PHY,Rxed,9,7,0,2,0
0.0999286,ENB,PHY,Rxed,9,9,0,2,0
0.114929,ENB,PHY,Rxed,11,4,0,2,0
0.130929,ENB,PHY,Rxed,13,0,0,4,0
0.133929,ENB,PHY,Rxed,13,3,0,2,0
0.133929,ENB,PHY,Rxed,13,3,0,4,0
0.141929,ENB,PHY,Rxed,14,1,0,2,0
0.143929,ENB,PHY,Rxed,14,3,0,4,0
0.150929,ENB,PHY,Rxed,15,0,0,4,0
0.161929,ENB,PHY,Rxed,16,1,0,4,0
0.177929,ENB,PHY,Rxed,17,7,0,2,0
0.179929,ENB,PHY,Rxed,17,9,0,2,0
0.194929,ENB,PHY,Rxed,19,4,0,2,0
0.210929,ENB,PHY,Rxed,21,0,0,4,0
0.213929,ENB,PHY,Rxed,21,3,0,2,0
0.213929,ENB,PHY,Rxed,21,3,0,4,0
0.221929,ENB,PHY,Rxed,22,1,0,2,0
0.223929,ENB,PHY,Rxed,22,3,0,4,0
0.230929,ENB,PHY,Rxed,23,0,0,4,0
0.241929,ENB,PHY,Rxed,24,1,0,4,0
0.257929,ENB,PHY,Rxed,25,7,0,2,0
0.259929,ENB,PHY,Rxed,25,9,0,2,0
0.274929,ENB,PHY,Rxed,27,4,0,2,0
0.290929,ENB,PHY,Rxed,29,0,0,4,0
0.293929,ENB,PHY,Rxed,29,3,0,2,0
0.293929,ENB,PHY,Rxed,29,3,0,4,0
0.301929,ENB,PHY,Rxed,30,1,0,2,0
0.303929,ENB,PHY,Rxed,30,3,0,4,0
0.310929,ENB,PHY,Rxed,31,0,0,4,0
0.321929,ENB,PHY,Rxed,32,1,0,4,0
0.337929,ENB,PHY,Rxed,33,7,0,2,0
0.339929,ENB,PHY,Rxed,33,9,0,2,0
0.354929,ENB,PHY,Rxed,35,4,0,2,0
0.370929,ENB,PHY,Rxed,37,0,0,4,0
0.373929,ENB,PHY,Rxed,37,3,0,2,0
0.373929,ENB,PHY,Rxed,37,3,0,4,0
0.381929,ENB,PHY,Rxed,38,1,0,2,0
0.383929,ENB,PHY,Rxed,38,3,0,4,0
0.390929,ENB,PHY,Rxed,39,0,0,4,0
0.401929,ENB,PHY,Rxed,40,1,0,4,0
0.417929,ENB,PHY,Rxed,41,7,0,2,0
0.419929,ENB,PHY,Rxed,41,9,0,2,0
0.434929,ENB,PHY,Rxed,43,4,0,2,0
