Time,Entity,Frame,SF,Slot,nodeId,RNTI,bwpId,MsgType
0,ENB,PHY,Txed,0,0,0,2,0
0,ENB,PHY,Txed,0,0,0,4,0
0.005,ENB,PHY,Txed,0,5,0,2,0
0.005,ENB,PHY,Txed,0,5,0,4,0
0.01,ENB,PHY,Txed,1,0,0,2,0
0.01,ENB,PHY,Txed,1,0,0,4,0
0.015,ENB,PHY,Txed,1,5,0,2,0
0.015,ENB,PHY,Txed,1,5,0,4,0
0.02,ENB,PHY,Txed,2,0,0,2,0
0.02,ENB,PHY,Txed,2,0,0,2,0
0.02,ENB,PHY,Txed,2,0,0,4,0
0.02,ENB,PHY,Txed,2,0,0,4,0
0.025,ENB,PHY,Txed,2,5,0,2,0
0.025,ENB,PHY,Txed,2,5,0,4,0
0.03,ENB,PHY,Txed,3,0,0,2,0
0.03,ENB,PHY,Txed,3,0,0,4,0
0.032,ENB,PHY,Txed,3,2,0,2,0
0.035,ENB,PHY,Txed,3,5,0,2,0
0.035,ENB,PHY,Txed,3,5,0,4,0
0.04,ENB,PHY,Txed,4,0,0,2,0
0.04,ENB,PHY,Txed,4,0,0,4,0
0.045,ENB,PHY,Txed,4,5,0,2,0
0.045,ENB,PHY,Txed,4,5,0,4,0
0.048,ENB,PHY,Txed,4,8,0,4,0
0.05,ENB,PHY,Txed,5,0,0,2,0
0.05,ENB,PHY,Txed,5,0,0,4,0
0.051,ENB,PHY,Txed,5,1,0,2,0
0.051,ENB,PHY,Txed,5,1,0,4,0
0.055,ENB,PHY,Txed,5,5,0,2,0
0.055,ENB,PHY,Txed,5,5,0,4,0
0.059,ENB,PHY,Txed,5,9,0,2,0
0.06,ENB,PHY,Txed,6,0,0,2,0
0.06,ENB,PHY,Txed,6,0,0,4,0
0.061,ENB,PHY,Txed,6,1,0,4,0
0.065,ENB,PHY,Txed,6,5,0,2,0
0.065,ENB,PHY,Txed,6,5,0,4,0
0.068,ENB,PHY,Txed,6,8,0,4,0
0.07,ENB,PHY,Txed,7,0,0,2,0
0.07,ENB,PHY,Txed,7,0,0,4,0
0.075,ENB,PHY,Txed,7,5,0,2,0
0.075,ENB,PHY,Txed,7,5,0,4,0
0.079,ENB,PHY,Txed,7,9,0,4,0
0.08,ENB,PHY,Txed,8,0,0,2,0
0.08,ENB,PHY,Txed,8,0,0,4,0
0.085,ENB,PHY,Txed,8,5,0,2,0
0.085,ENB,PHY,Txed,8,5,0,4,0
0.09,ENB,PHY,Txed,9,0,0,2,0
0.09,ENB,PHY,Txed,9,0,0,4,0
0.095,ENB,PHY,Txed,9,5,0,2,0
0.095,ENB,PHY,Txed,9,5,0,2,0
0.095,ENB,PHY,Txed,9,5,0,4,0
0.097,ENB,PHY,Txed,9,7,0,2,0
0.1,ENB,PHY,Txed,10,0,0,2,0
0.1,ENB,PHY,Txed,10,0,0,4,0
0.105,ENB,PHY,Txed,10,5,0,2,0
0.105,ENB,PHY,Txed,10,5,0,4,0
0.11,ENB,PHY,Txed,11,0,0,2,0
0.11,ENB,PHY,Txed,11,0,0,4,0
0.112,ENB,PHY,Txed,11,2,0,2,0
0.115,ENB,PHY,Txed,11,5,0,2,0
0.115,ENB,PHY,Txed,11,5,0,4,0
0.12,ENB,PHY,Txed,12,0,0,2,0
0.12,ENB,PHY,Txed,12,0,0,4,0
0.125,ENB,PHY,Txed,12,5,0,2,0
0.125,ENB,PHY,Txed,12,5,0,4,0
0.128,ENB,PHY,Txed,12,8,0,4,0
0.13,ENB,PHY,Txed,13,0,0,2,0
0.13,ENB,PHY,Txed,13,0,0,4,0
0.131,ENB,PHY,Txed,13,1,0,2,0
0.131,ENB,PHY,Txed,13,1,0,4,0
0.135,ENB,PHY,Txed,13,5,0,2,0
0.135,ENB,PHY,Txed,13,5,0,4,0
0.139,ENB,PHY,Txed,13,9,0,2,0
0.14,ENB,PHY,Txed,14,0,0,2,0
0.14,ENB,PHY,Txed,14,0,0,4,0
0.141,ENB,PHY,Txed,14,1,0,4,0
0.145,ENB,PHY,Txed,14,5,0,2,0
0.145,ENB,PHY,Txed,14,5,0,4,0
0.148,ENB,PHY,Txed,14,8,0,4,0
0.15,ENB,PHY,Txed,15,0,0,2,0
